A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
1.48,MT6X5,0.0202,40.2,MT6X5,0.572,5.62,0.517,0.0145,0,0,0,0,1.36,0.318,F,MT,5,0,2.45,0.509,3.25,3.25,9.03,5.99,6,0.5,0.5,2.71,1.96,0.594,0.18,0.19,0.149,0.13,0.06,1.86,1.08
1.33,MT5X4.5,0.0138,31.8,MT5X4.5,0.585,3.47,0.336,0.0156,0,0,0,0,1,0.25,F,MT,4.5,0,1.81,0.403,2.69,2.75,6.53,5,5,0.563,0.56,2.22,1.62,0.505,0.206,0.19,0.157,0.19,0.13,1.54,0.808
1.19,MT5X4,0.00989,35.3,MT5X4,0.583,3.08,0.296,0.0112,0,0,0,0,0.894,0.22,F,MT,4,0,1.61,0.354,2.69,2.75,7.39,4.98,5,0.563,0.56,2.22,1.62,0.502,0.182,0.19,0.141,0.13,0.06,1.52,0.809
1.11,MT5X3.75,0.00792,38.4,MT5X3.75,0.588,2.91,0.281,0.00932,0,0,0,0,0.836,0.209,F,MT,3.75,0,1.51,0.334,2.69,2.75,7.77,5,5,0.438,0.44,2.22,1.63,0.505,0.173,0.19,0.13,0.13,0.06,1.51,0.759
0.959,MT4X3.25,0.00463,29.6,MT4X3.25,0.612,1.57,0.188,0.00917,0,0,0,0,0.558,0.165,F,MT,3.25,0,1.01,0.264,2.28,2.25,6.03,4,4,0.563,0.56,1.74,1.29,0.444,0.189,0.19,0.135,0.13,0.06,1.18,0.472
0.911,MT4X3.1,0.00403,31,MT4X3.1,0.608,1.5,0.176,0.00778,0,0,0,0,0.533,0.154,F,MT,3.1,0,0.967,0.247,2.28,2.25,6.44,4,4,0.438,0.44,1.75,1.29,0.441,0.177,0.19,0.129,0.13,0.06,1.18,0.497
0.647,MT3X2.2,0.00124,26.3,MT3X2.2,0.646,0.579,0.0897,0.00494,0,0,0,0,0.268,0.0973,F,MT,2.2,0,0.483,0.155,1.84,1.88,5.38,3,3,0.375,0.38,1.27,0.949,0.374,0.171,0.19,0.114,0.13,0.06,0.841,0.19
0.545,MT3X1.85,0.000754,30.2,MT3X1.85,0.644,0.483,0.0863,0.00265,0,0,0,0,0.226,0.0863,F,MT,1.85,0,0.409,0.136,2,2,7.75,2.96,3,0.313,0.31,1.28,0.945,0.4,0.129,0.13,0.098,0.13,0.06,0.827,0.174
2.78,MT2.5X9.45,0.0732,7.91,MT2.5X9.45,0.955,1.05,4.35,0.156,0,0,0,0,0.528,1.74,T,MT,9.45,2.75,1.03,2.66,5,5,6.01,2.5,2.5,0.813,0.81,1.43,0.617,1.26,0.416,0.44,0.316,0.31,0.19,0.512,0.276
0.875,MT2X3,0.00193,14.6,MT2X3,0.942,0.208,0.732,0.00919,0,0,0,0,0.133,0.385,F,MT,3,0,0.241,0.588,3.8,3.75,11.9,1.9,1.88,0.5,0.5,1.08,0.493,0.926,0.16,0.19,0.13,0.13,0.06,0.341,0.112
17.8,ST12X60.5,27.5,15.4,ST12X60.5,0.64,259,41.5,6.38,0,0,0,0,30.1,10.3,F,ST,60.5,4,54.5,18.1,8.05,8,3.69,12.3,12.25,2,2,5.14,3.82,1.53,1.09,1.06,0.8,0.81,0.44,3.63,1.26
15.6,ST12X53,15,19.8,ST12X53,0.686,216,38.4,5.05,0,0,0,0,24.1,9.76,F,ST,53,4,43.3,16.7,7.87,7.88,3.61,12.3,12.25,2,2,4.88,3.72,1.57,1.09,1.06,0.62,0.63,0.31,3.28,1.02
14.7,ST12X50,19.5,16.1,ST12X50,0.584,215,23.7,3.76,0,0,0,0,26.3,6.55,F,ST,50,4,47.5,12,7.25,7.25,4.17,12,12,1.75,1.75,5.28,3.83,1.27,0.87,0.88,0.745,0.75,0.38,3.84,2.16
11.7,ST12X40,6.94,24,ST12X40,0.656,162,21,2.44,0,0,0,0,18.6,6,F,ST,40,4,33.6,10.4,7,7,4.02,12,12,1.75,1.75,4.88,3.72,1.34,0.87,0.88,0.5,0.5,0.25,3.3,0.909
14.1,ST10X48,15,12.7,ST10X48,0.625,143,25,4.16,0,0,0,0,20.3,6.93,F,ST,48,4,36.9,12.5,7.2,7.25,3.91,10.2,10.13,1.75,1.75,4.36,3.18,1.33,0.92,0.94,0.8,0.81,0.44,3.13,1.35
13.2,ST12X45,12.1,19.2,ST12X45,0.615,190,22.3,3.01,0,0,0,0,22.6,6.27,F,ST,45,4,41.1,11.2,7.13,7.13,4.1,12,12,1.75,1.75,5.11,3.79,1.3,0.87,0.88,0.625,0.63,0.31,3.6,1.42
12.7,ST10X43,9.17,15.4,ST10X43,0.659,124,23.3,3.3,0,0,0,0,17.2,6.59,F,ST,43,4,31.1,11.6,7.06,7,3.84,10.2,10.13,1.75,1.75,4.21,3.13,1.36,0.92,0.94,0.66,0.69,0.38,2.91,0.972
11,ST10X37.5,7.21,15.7,ST10X37.5,0.613,109,14.8,2.28,0,0,0,0,15.8,4.62,F,ST,37.5,3.5,28.6,8.36,6.39,6.38,4.02,10,10,1.63,1.63,4.29,3.15,1.16,0.795,0.81,0.635,0.63,0.31,3.07,1.34
8.02,ST9X27.35,2.26,19.5,ST9X27.35,0.66,62.3,10.4,1.16,0,0,0,0,9.6,3.45,F,ST,27.35,3.5,17.3,6.06,6,6,4.34,9,9,1.5,1.5,3.71,2.79,1.14,0.691,0.69,0.461,0.44,0.25,2.51,0.737
9.7,ST10X33,4.02,19.8,ST10X33,0.654,92.9,13.7,1.78,0,0,0,0,12.9,4.39,F,ST,33,3.5,23.4,7.7,6.26,6.25,3.94,10,10,1.63,1.63,4.1,3.1,1.19,0.795,0.81,0.505,0.5,0.25,2.81,0.841
7.34,ST7.5X25,2.02,13.6,ST7.5X25,0.635,40.5,7.79,1.05,0,0,0,0,7.72,2.76,F,ST,25,3.5,14,4.99,5.64,5.63,4.53,7.5,7.5,1.38,1.38,3.22,2.35,1.03,0.622,0.63,0.55,0.56,0.31,2.25,0.826
10.3,ST9X35,7.03,12.7,ST9X35,0.582,84.5,12,2.02,0,0,0,0,14,3.84,F,ST,35,3.5,25.1,7.17,6.25,6.25,4.52,9,9,1.5,1.5,4.02,2.87,1.08,0.691,0.69,0.711,0.69,0.38,2.94,1.78
5.96,ST6X20.4,0.787,13,ST6X20.4,0.732,18.9,6.74,0.842,0,0,0,0,4.27,2.57,F,ST,20.4,3,7.71,4.43,5.25,5.25,3.98,6,6,1.44,1.44,2.42,1.78,1.06,0.659,0.69,0.462,0.44,0.25,1.58,0.577
5.12,ST6X17.5,0.556,14,ST6X17.5,0.695,17.2,4.92,0.524,0,0,0,0,3.95,1.94,F,ST,17.5,3,7.12,3.4,5.08,5.13,4.67,6,6,1.19,1.19,2.49,1.83,0.98,0.544,0.56,0.428,0.44,0.25,1.65,0.543
7.33,ST6X25,1.97,8.73,ST6X25,0.662,25.1,7.79,1.36,0,0,0,0,6.04,2.84,F,ST,25,3,11,5.16,5.48,5.5,4.17,6,6,1.44,1.44,2.6,1.85,1.03,0.659,0.69,0.687,0.69,0.38,1.84,0.758
6.3,ST7.5X21.45,0.995,18.2,ST7.5X21.45,0.689,32.9,7.13,0.765,0,0,0,0,5.99,2.59,F,ST,21.45,3.5,10.8,4.54,5.5,5.5,4.42,7.5,7.5,1.38,1.38,3.04,2.29,1.06,0.622,0.63,0.411,0.44,0.25,2.01,0.605
4.65,ST6X15.9,0.364,17.1,ST6X15.9,0.731,14.8,4.66,0.438,0,0,0,0,3.3,1.87,F,ST,15.9,3,5.94,3.22,5,5,4.6,6,6,1.19,1.19,2.39,1.78,1,0.544,0.56,0.35,0.38,0.19,1.51,0.48
5.14,ST5X17.5,0.725,8.42,ST5X17.5,0.653,12.5,4.15,0.633,0,0,0,0,3.62,1.68,F,ST,17.5,2.75,6.58,3.1,4.94,5,5.03,5,5,1.13,1.13,2.23,1.56,0.899,0.491,0.5,0.594,0.63,0.31,1.56,0.673
3.72,ST5X12.7,0.173,16.1,ST5X12.7,0.767,7.79,3.36,0.3,0,0,0,0,2.05,1.44,F,ST,12.7,2.75,3.7,2.49,4.66,4.63,4.75,5,5,1.13,1.13,1.98,1.45,0.95,0.491,0.5,0.311,0.31,0.19,1.2,0.403
2.7,ST4X9.2,0.0642,14.8,ST4X9.2,0.788,3.49,1.84,0.167,0,0,0,0,1.14,0.922,F,ST,9.2,2.25,2.07,1.59,4,4,4.71,4,4,1,1,1.58,1.14,0.827,0.425,0.44,0.271,0.25,0.13,0.942,0.336
3.38,ST4X11.5,0.168,9.07,ST4X11.5,0.704,5,2.13,0.271,0,0,0,0,1.76,1.02,F,ST,11.5,2.25,3.19,1.84,4.17,4.13,4.91,4,4,1,1,1.73,1.22,0.795,0.425,0.44,0.441,0.44,0.25,1.15,0.439
2.53,ST3X8.6,0.0772,6.45,ST3X8.6,0.705,2.12,1.14,0.181,0,0,0,0,1.02,0.642,F,ST,8.6,0,1.85,1.17,3.57,3.63,4.97,3,3,0.813,0.81,1.35,0.915,0.673,0.359,0.38,0.465,0.44,0.25,0.915,0.394
1.83,ST3X6.25,0.0197,12.9,ST3X6.25,0.819,1.26,0.901,0.083,0,0,0,0,0.547,0.541,F,ST,6.25,0,1.01,0.93,3.33,3.38,4.64,3,3,0.813,0.81,1.2,0.831,0.702,0.359,0.38,0.232,0.25,0.13,0.692,0.271
1.46,ST2.5X5,0.01,11.7,ST2.5X5,0.839,0.671,0.597,0.0568,0,0,0,0,0.348,0.398,F,ST,5,0,0.65,0.686,3,3,4.6,2.5,2.5,0.75,0.75,1.02,0.677,0.638,0.326,0.31,0.214,0.19,0.13,0.57,0.239
1.4,ST2X4.75,0.01,6.13,ST2X4.75,0.797,0.462,0.444,0.059,0,0,0,0,0.319,0.317,F,ST,4.75,0,0.592,0.565,2.8,2.75,4.78,2,2,0.75,0.75,0.903,0.575,0.564,0.293,0.31,0.326,0.31,0.19,0.553,0.25
1.13,ST2X3.85,0.00457,10.4,ST2X3.85,0.869,0.307,0.374,0.0364,0,0,0,0,0.198,0.281,F,ST,3.85,0,0.381,0.485,2.66,2.63,4.54,2,2,0.75,0.75,0.834,0.522,0.576,0.293,0.31,0.193,0.19,0.13,0.448,0.204
1.1,ST1.5X3.75,0.00496,4.3,ST1.5X3.75,0.83,0.2,0.289,0.0432,0,0,0,0,0.187,0.23,F,ST,3.75,0,0.351,0.411,2.51,2.5,4.83,1.5,1.5,0.625,0.63,0.732,0.426,0.513,0.26,0.25,0.349,0.38,0.19,0.432,0.219
0.83,ST1.5X2.85,0.00189,8.82,ST1.5X2.85,0.911,0.114,0.223,0.0216,0,0,0,0,0.097,0.192,F,ST,2.85,0,0.196,0.328,2.33,2.38,4.48,1.5,1.5,0.625,0.63,0.667,0.37,0.518,0.26,0.25,0.17,0.19,0.13,0.329,0.171
