A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
49.5,WT6X168,481,4.72,WT6X168,0.958,190,593,120,29.5,42.9,30.2,43.6,31.2,88.6,T,WT,168,5.5,68.4,137,13.4,13.38,2.26,8.41,8.38,3.55,3.88,4.07,1.96,3.47,2.96,2.94,1.78,1.75,0.88,2.31,1.84
25,WT6X85,58.3,7.31,WT6X85,0.96,67.8,259,17.7,26,38.6,26.6,39.2,12.3,41.2,F,WT,85,5.5,25.6,62.9,12.6,12.63,4.03,7.02,7,2.16,2.44,3.69,1.65,3.22,1.56,1.56,0.96,0.94,0.5,1.52,0.994
15.6,WT6X53,13.6,10.6,WT6X53,0.961,36.3,151,4.55,24.4,36.6,25.1,37.3,6.92,24.7,F,WT,53,5.5,13.6,37.5,12.2,12.25,6.17,6.45,6.5,1.59,1.88,3.53,1.53,3.11,0.99,1,0.61,0.63,0.31,1.19,0.637
20,WT6X68,28.9,8.49,WT6X68,0.959,50.6,199,9.21,25.1,37.5,25.8,38.2,9.46,32.1,F,WT,68,5.5,19,48.9,12.4,12.38,4.96,6.71,6.75,1.85,2.13,3.61,1.59,3.16,1.25,1.25,0.79,0.81,0.44,1.35,0.805
22.4,WT6X76,41.3,7.89,WT6X76,0.96,58.5,227,12.8,25.5,38,26.2,38.7,10.8,36.4,F,WT,76,5.5,22,55.6,12.5,12.5,4.46,6.86,6.88,2,2.31,3.65,1.62,3.19,1.4,1.38,0.87,0.88,0.44,1.43,0.896
17.6,WT6X60,19.7,9.24,WT6X60,0.959,43.4,172,6.42,24.7,37,25.4,37.7,8.22,28,F,WT,60,5.5,16.2,42.7,12.3,12.38,5.57,6.56,6.5,1.7,2,3.57,1.57,3.13,1.11,1.13,0.71,0.69,0.38,1.28,0.716
11.6,WT6X39.5,5.43,13.2,WT6X39.5,0.96,25.8,108,1.91,23.8,35.9,24.5,36.6,5.03,17.9,F,WT,39.5,5.5,9.49,27.1,12.1,12.13,8.22,6.19,6.25,1.33,1.63,3.47,1.49,3.05,0.735,0.75,0.47,0.5,0.25,1.06,0.48
14.1,WT6X48,10.1,11.6,WT6X48,0.962,32,135,3.42,24.2,36.4,24.9,37.1,6.12,22.2,F,WT,48,5.5,11.9,33.7,12.2,12.13,6.76,6.36,6.38,1.5,1.81,3.51,1.51,3.09,0.9,0.88,0.55,0.56,0.31,1.13,0.58
9.54,WT6X32.5,2.97,15.5,WT6X32.5,0.96,20.6,87.2,1.09,23.4,35.4,24.1,36.1,4.06,14.5,F,WT,32.5,5.5,7.5,22,12,12,9.92,6.06,6,1.2,1.5,3.43,1.47,3.02,0.605,0.63,0.39,0.38,0.19,0.985,0.398
12.8,WT6X43.5,7.34,12.2,WT6X43.5,0.96,28.9,120,2.54,24,36.1,24.6,36.7,5.6,19.9,F,WT,43.5,5.5,10.7,30.2,12.1,12.13,7.48,6.27,6.25,1.41,1.69,3.49,1.5,3.07,0.81,0.81,0.515,0.5,0.25,1.1,0.527
10.6,WT6X36,4.07,14.3,WT6X36,0.96,23.2,97.5,1.46,23.6,35.6,24.3,36.3,4.54,16.2,F,WT,36,5.5,8.48,24.6,12,12,8.99,6.13,6.13,1.27,1.56,3.45,1.48,3.04,0.67,0.69,0.43,0.44,0.25,1.02,0.439
7.78,WT6X26.5,1.53,17.5,WT6X26.5,0.939,17.7,47.9,0.788,21.5,31.5,22.1,32.1,3.54,9.58,F,WT,26.5,5.5,6.46,14.5,10,10,8.69,6.03,6,1.18,1.38,3,1.51,2.48,0.575,0.56,0.345,0.38,0.19,1.02,0.389
6.56,WT6X22.5,0.885,18,WT6X22.5,0.898,16.6,25,0.627,19.5,27.6,20.1,28.2,3.39,6.21,F,WT,22.5,5.5,6.1,9.47,8.05,8,7,6.03,6,1.08,1.38,2.66,1.59,1.95,0.575,0.56,0.335,0.31,0.19,1.13,0.408
8.52,WT6X29,2.08,16.9,WT6X29,0.944,19.1,53.5,1.05,21.6,31.6,22.2,32.2,3.76,10.7,F,WT,29,5.5,6.97,16.2,10,10,7.82,6.1,6.13,1.24,1.5,3,1.5,2.51,0.64,0.63,0.36,0.38,0.19,1.03,0.426
7.3,WT6X25,1.23,16.5,WT6X25,0.899,18.7,28.2,0.855,19.7,27.8,20.3,28.4,3.79,6.97,F,WT,25,5.5,6.88,10.6,8.08,8.13,6.31,6.1,6.13,1.14,1.5,2.67,1.6,1.96,0.64,0.63,0.37,0.38,0.19,1.17,0.452
5.84,WT6X20,0.62,20.2,WT6X20,0.901,14.4,22,0.452,19.3,27.4,20,28,2.95,5.5,F,WT,20,5.5,5.28,8.38,8.01,8,7.77,5.97,6,1.02,1.38,2.63,1.57,1.94,0.515,0.5,0.295,0.31,0.19,1.09,0.365
5.17,WT6X17.5,0.437,20.8,WT6X17.5,0.834,16,12.2,0.369,18.5,25.1,19.1,25.6,3.23,3.73,F,WT,17.5,3.5,5.71,5.73,6.56,6.5,6.31,6.25,6.25,0.82,1.19,2.56,1.76,1.54,0.52,0.5,0.3,0.31,0.19,1.3,0.394
4.4,WT6X15,0.267,23.7,WT6X15,0.83,13.5,10.2,0.228,18.3,24.9,18.9,25.4,2.75,3.12,F,WT,15,3.5,4.83,4.78,6.52,6.5,7.41,6.17,6.13,0.74,1.13,2.54,1.75,1.52,0.44,0.44,0.26,0.25,0.13,1.27,0.337
3.82,WT6X13,0.174,26.6,WT6X13,0.827,11.7,8.66,0.15,18.2,24.7,18.7,25.2,2.4,2.67,F,WT,13,3.5,4.2,4.08,6.49,6.5,8.54,6.11,6.13,0.68,1.06,2.54,1.75,1.51,0.38,0.38,0.23,0.25,0.13,1.25,0.295
3.24,WT6X11,0.137,23.7,WT6X11,0.683,11.7,2.33,0.146,16,20,16.4,20.4,2.59,1.15,F,WT,11,2.25,4.63,1.83,4.03,4,4.74,6.16,6.13,0.725,0.94,2.52,1.9,0.847,0.425,0.44,0.26,0.25,0.13,1.63,0.402
