A,AISC_name,C,D_t,EDI_Std_Nomenclature,Ix,Iy,J,OD,Sx,Sy,T_F,Type,W,Zx,Zy,rx,ry,tdes,tnom
2.12,HSS5.563X0.134,5.64,44.9,HSS5.563X.134,7.84,7.84,15.7,5.56,2.82,2.82,F,HSS,7.78,3.67,3.67,1.92,1.92,0.124,0.134
7.36,HSS5.500X0.500,17.1,11.8,HSS5.5X.500,23.5,23.5,47,5.5,8.55,8.55,F,HSS,26.73,11.8,11.8,1.79,1.79,0.465,0.5
5.65,HSS5.500X0.375,13.7,15.8,HSS5.5X.375,18.8,18.8,37.6,5.5,6.84,6.84,F,HSS,20.55,9.27,9.27,1.83,1.83,0.349,0.375
3.97,HSS5.500X0.258,10,22.9,HSS5.5X.258,13.7,13.7,27.5,5.5,5,5,F,HSS,14.46,6.64,6.64,1.86,1.86,0.24,0.258
6.62,HSS5.000X0.500,13.8,10.8,HSS5X.500,17.2,17.2,34.4,5,6.88,6.88,F,HSS,24.05,9.6,9.6,1.61,1.61,0.465,0.5
5.1,HSS5.000X0.375,11.1,14.3,HSS5X.375,13.9,13.9,27.7,5,5.55,5.55,F,HSS,18.54,7.56,7.56,1.65,1.65,0.349,0.375
4.3,HSS5.000X0.312,9.58,17.2,HSS5X.312,12,12,24,5,4.79,4.79,F,HSS,15.64,6.46,6.46,1.67,1.67,0.291,0.312
3.49,HSS5.000X0.250,7.95,21.5,HSS5X.250,9.94,9.94,19.9,5,3.97,3.97,F,HSS,12.69,5.3,5.3,1.69,1.69,0.233,0.25
3.59,HSS5.000X0.258,8.15,20.8,HSS5X.258,10.2,10.2,20.4,5,4.08,4.08,F,HSS,13.08,5.44,5.44,1.69,1.69,0.24,0.258
2.64,HSS5.000X0.188,6.15,28.7,HSS5X.188,7.69,7.69,15.4,5,3.08,3.08,F,HSS,9.67,4.05,4.05,1.71,1.71,0.174,0.188
1.78,HSS5.000X0.125,4.25,43.1,HSS5X.125,5.31,5.31,10.6,5,2.12,2.12,F,HSS,6.51,2.77,2.77,1.73,1.73,0.116,0.125
4.55,HSS4.500X0.375,8.78,12.9,HSS4.5X.375,9.87,9.87,19.7,4.5,4.39,4.39,F,HSS,16.54,6.03,6.03,1.47,1.47,0.349,0.375
4.12,HSS4.500X0.337,8.06,14.4,HSS4.5X.337,9.07,9.07,18.1,4.5,4.03,4.03,F,HSS,15,5.5,5.5,1.48,1.48,0.313,0.337
2.96,HSS4.500X0.237,6.04,20.5,HSS4.5X.237,6.79,6.79,13.6,4.5,3.02,3.02,F,HSS,10.8,4.03,4.03,1.52,1.52,0.22,0.237
2.36,HSS4.500X0.188,4.93,25.9,HSS4.5X.188,5.54,5.54,11.1,4.5,2.46,2.46,F,HSS,8.67,3.26,3.26,1.53,1.53,0.174,0.188
1.6,HSS4.500X0.125,3.41,38.8,HSS4.5X.125,3.84,3.84,7.68,4.5,1.71,1.71,F,HSS,5.85,2.23,2.23,1.55,1.55,0.116,0.125
3.39,HSS4.000X0.313,5.87,13.7,HSS4X.313,5.87,5.87,11.7,4,2.93,2.93,F,HSS,12.34,4.01,4.01,1.32,1.32,0.291,0.313
2.76,HSS4.000X0.250,4.91,17.2,HSS4X.250,4.91,4.91,9.82,4,2.45,2.45,F,HSS,10,3.31,3.31,1.33,1.33,0.233,0.25
2.61,HSS4.000X0.237,4.68,18.2,HSS4X.237,4.68,4.68,9.36,4,2.34,2.34,F,HSS,9.53,3.15,3.15,1.34,1.34,0.22,0.237
2.5,HSS4.000X0.226,4.5,19,HSS4X.226,4.5,4.5,9.01,4,2.25,2.25,F,HSS,9.12,3.02,3.02,1.34,1.34,0.21,0.226
2.44,HSS4.000X0.220,4.41,19.5,HSS4X.220,4.41,4.41,8.83,4,2.21,2.21,F,HSS,8.89,2.96,2.96,1.34,1.34,0.205,0.22
2.09,HSS4.000X0.188,3.83,23,HSS4X.188,3.83,3.83,7.67,4,1.92,1.92,F,HSS,7.66,2.55,2.55,1.35,1.35,0.174,0.188
2.93,HSS3.500X0.313,4.35,12,HSS3.5X.313,3.81,3.81,7.61,3.5,2.18,2.18,F,HSS,10.66,3,3,1.14,1.14,0.291,0.313
1.42,HSS4.000X0.125,2.67,34.5,HSS4X.125,2.67,2.67,5.34,4,1.34,1.34,F,HSS,5.18,1.75,1.75,1.37,1.37,0.116,0.125
2.82,HSS3.500X0.300,4.22,12.5,HSS3.5X.300,3.69,3.69,7.38,3.5,2.11,2.11,F,HSS,10.26,2.9,2.9,1.14,1.14,0.279,0.3
2.39,HSS3.500X0.250,3.66,15,HSS3.5X.250,3.21,3.21,6.41,3.5,1.83,1.83,F,HSS,8.69,2.49,2.49,1.16,1.16,0.233,0.25
2.08,HSS3.500X0.216,3.25,17.4,HSS3.5X.216,2.84,2.84,5.69,3.5,1.63,1.63,F,HSS,7.58,2.19,2.19,1.17,1.17,0.201,0.216
1.97,HSS3.500X0.203,3.09,18.5,HSS3.5X.203,2.7,2.7,5.41,3.5,1.54,1.54,F,HSS,7.15,2.07,2.07,1.17,1.17,0.189,0.203
1.82,HSS3.500X0.188,2.88,20.1,HSS3.5X.188,2.52,2.52,5.04,3.5,1.44,1.44,F,HSS,6.66,1.93,1.93,1.18,1.18,0.174,0.188
2.03,HSS3.000X0.250,2.6,12.9,HSS3X.250,1.95,1.95,3.9,3,1.3,1.3,F,HSS,7.35,1.79,1.79,0.982,0.982,0.233,0.25
1.77,HSS3.000X0.216,2.32,14.9,HSS3X.216,1.74,1.74,3.48,3,1.16,1.16,F,HSS,6.43,1.58,1.58,0.992,0.992,0.201,0.216
1.23,HSS3.500X0.125,2.02,30.2,HSS3.5X.125,1.77,1.77,3.53,3.5,1.01,1.01,F,HSS,4.51,1.33,1.33,1.2,1.2,0.116,0.125
1.67,HSS3.000X0.203,2.21,15.9,HSS3X.203,1.66,1.66,3.31,3,1.1,1.1,F,HSS,6.07,1.5,1.5,0.996,0.996,0.189,0.203
1.54,HSS3.000X0.188,2.06,17.2,HSS3X.188,1.55,1.55,3.1,3,1.03,1.03,F,HSS,5.65,1.39,1.39,1,1,0.174,0.188
1.27,HSS3.000X0.152,1.73,21.3,HSS3X.152,1.3,1.3,2.59,3,0.865,0.865,F,HSS,4.63,1.15,1.15,1.01,1.01,0.141,0.152
1.12,HSS3.000X0.134,1.55,24.2,HSS3X.134,1.16,1.16,2.32,3,0.774,0.774,F,HSS,4.11,1.03,1.03,1.02,1.02,0.124,0.134
1.05,HSS3.000X0.125,1.46,25.9,HSS3X.125,1.09,1.09,2.19,3,0.73,0.73,F,HSS,3.84,0.965,0.965,1.02,1.02,0.116,0.125
