A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
24.7,W24X84,12800,W24X84,2370,94.4,3.7,73.5,82.5,57.2,66.2,38.4,111,91.3,196,20.9,20,F,W,84,5.5,52.6,224,32.6,9.02,9,5.86,24.1,24.13,45.9,23.3,1.44,1.27,2.06,2.37,9.79,1.95,0.77,0.75,0.47,0.5,0.25
20.1,W24X68,9430,W24X68,1830,70.4,1.87,72.6,81.6,56.4,65.3,28.9,87,68,154,15.7,20,F,W,68,5.5,51.8,177,24.5,8.97,9,7.66,23.7,23.75,52,23.1,1.44,1.09,1.88,2.3,9.55,1.87,0.585,0.56,0.415,0.44,0.25
22.4,W24X76,11100,W24X76,2100,82.5,2.68,73,82,56.8,65.8,33.8,98.9,79.8,176,18.4,20,F,W,76,5.5,52.2,200,28.6,8.99,9,6.61,23.9,23.88,49,23.2,1.44,1.18,1.94,2.33,9.69,1.92,0.68,0.69,0.44,0.44,0.25
18.2,W24X62,4620,W24X62,1550,34.5,1.71,66.8,73.8,54.4,61.5,22.5,75.3,42.2,131,9.8,20.75,F,W,62,3.5,40.7,153,15.7,7.04,7,5.97,23.7,23.75,50.1,23.1,1.06,1.09,1.5,1.75,9.23,1.38,0.59,0.56,0.43,0.44,0.25
16.2,W24X55,3870,W24X55,1350,29.1,1.18,66.6,73.6,54.2,61.2,19.3,66.1,35.8,114,8.3,20.75,F,W,55,3.5,40.5,134,13.3,7.01,7,6.94,23.6,23.63,54.6,23.1,1,1.01,1.44,1.72,9.11,1.34,0.505,0.5,0.395,0.38,0.19
81.8,W21X275,94400,W21X275,7690,787,107,82.4,95.3,61.1,74,140,369,499,638,122,17.25,T,W,275,5.5,70.7,749,191,12.9,12.88,2.95,24.1,24.13,14.2,21.9,1.81,3.37,3.44,3.68,9.7,3.1,2.19,2.19,1.22,1.25,0.63
73.8,W21X248,82400,W21X248,6830,699,80.7,81.6,94.4,60.2,73,126,330,442,576,109,17.25,F,W,248,5.5,69.5,671,170,12.8,12.75,3.22,23.7,23.75,15.8,21.7,1.75,3.17,3.25,3.63,9.62,3.08,1.99,2,1.1,1.13,0.56
59.3,W21X201,62000,W21X201,5310,542,40.9,81.1,93.7,58.6,71.2,102,264,346,461,86.1,17.25,F,W,201,5.5,67.3,530,133,12.6,12.63,3.86,23,23,20.6,21.4,1.69,2.13,2.88,3.55,9.47,3.02,1.63,1.63,0.91,0.94,0.5
66.5,W21X223,71700,W21X223,6080,614,59.5,80.9,93.6,59.5,72.2,113,295,390,520,96.7,17.25,F,W,223,5.5,68.6,601,150,12.7,12.63,3.55,23.4,23.38,17.5,21.6,1.69,2.97,3.06,3.57,9.56,3.04,1.79,1.81,1,1,0.5
53.6,W21X182,54400,W21X182,4730,483,30.7,80.4,92.9,57.9,70.4,91.6,237,307,417,77.2,17.25,F,W,182,5.5,66.3,476,119,12.5,12.5,4.22,22.7,22.75,22.6,21.2,1.63,1.98,2.75,3.51,9.4,3,1.48,1.5,0.83,0.81,0.44
48.8,W21X166,48500,W21X166,4280,435,23.6,79.8,92.2,57.4,69.8,83.7,215,276,380,70,17.25,F,W,166,5.5,65.5,432,108,12.4,12.38,4.57,22.5,22.5,25,21.1,1.56,1.86,2.63,3.48,9.36,2.99,1.36,1.38,0.75,0.75,0.38
43.2,W21X147,41100,W21X147,3630,376,15.4,79.4,91.9,56.7,69.2,71,186,235,329,60.1,17.25,F,W,147,5.5,65.5,373,92.6,12.5,12.5,5.44,22.1,22,26.1,21,1.56,1.65,2.44,3.46,9.17,2.95,1.15,1.13,0.72,0.75,0.38
38.8,W21X132,36000,W21X132,3220,333,11.3,78.6,91,56,68.4,62.8,164,206,295,53.5,17.25,F,W,132,5.5,64.4,333,82.3,12.4,12.5,6.01,21.8,21.88,28.9,20.8,1.56,1.54,2.25,3.43,9.12,2.93,1.04,1.06,0.65,0.63,0.31
32.6,W21X111,29200,W21X111,2670,274,6.83,77.9,90.2,55.3,67.6,53,138,171,249,44.5,17.25,F,W,111,5.5,63.4,279,68.2,12.3,12.38,7.05,21.5,21.5,34.1,20.6,1.5,1.38,2.13,3.37,9.05,2.9,0.875,0.88,0.55,0.56,0.31
27.3,W21X93,9940,W21X93,2070,92.9,6.03,66.5,74.9,51.6,60,37.7,109,85.2,192,22.1,18.38,F,W,93,5.5,43.5,221,34.7,8.42,8.38,4.53,21.6,21.63,32.3,20.7,0.94,1.43,1.63,2.24,8.7,1.84,0.93,0.94,0.58,0.56,0.31
21.5,W21X73,7410,W21X73,1600,70.6,3.02,65.5,73.8,50.7,59,29.7,85,65.2,151,17,18.38,F,W,73,5.5,42.5,172,26.6,8.3,8.25,5.6,21.2,21.25,41.2,20.5,0.88,1.24,1.44,2.19,8.64,1.81,0.74,0.75,0.455,0.44,0.25
35.9,W21X122,32700,W21X122,2960,305,8.98,78.5,90.9,55.8,68.2,58.7,153,191,273,49.2,17.25,F,W,122,5.5,64.3,307,75.6,12.4,12.38,6.45,21.7,21.63,31.3,20.7,1.5,1.46,2.25,3.4,9.09,2.92,0.96,0.94,0.6,0.63,0.31
24.4,W21X83,8630,W21X83,1830,81.4,4.34,66,74.4,51.2,59.5,33.7,96.8,75,171,19.5,18.38,F,W,83,5.5,43,196,30.5,8.36,8.38,5,21.4,21.38,36.4,20.6,0.88,1.34,1.5,2.21,8.67,1.83,0.835,0.81,0.515,0.5,0.25
20,W21X68,6760,W21X68,1480,64.7,2.45,65.3,73.6,50.5,58.7,27.4,78.7,59.8,140,15.7,18.38,F,W,68,5.5,42.2,160,24.4,8.27,8.25,6.04,21.1,21.13,43.6,20.4,0.88,1.19,1.38,2.17,8.6,1.8,0.685,0.69,0.43,0.44,0.25
18.3,W21X62,5960,W21X62,1330,57.5,1.83,65.1,73.3,50.2,58.5,24.6,71.2,53.2,127,14,18.38,F,W,62,5.5,42,144,21.7,8.24,8.25,6.7,21,21,46.9,20.4,0.81,1.12,1.31,2.15,8.54,1.77,0.615,0.63,0.4,0.38,0.19
29.8,W21X101,26200,W21X101,2420,248,5.21,77.8,90.1,55.1,67.4,48.6,126,156,227,40.3,17.25,F,W,101,5.5,63.3,253,61.7,12.3,12.25,7.68,21.4,21.38,37.5,20.6,1.44,1.3,2.06,3.35,9.02,2.89,0.8,0.81,0.5,0.5,0.25
16.2,W21X55,4980,W21X55,1140,48.4,1.24,64.7,72.9,49.8,58,20.8,61.8,44.7,110,11.8,18.38,F,W,55,5.5,41.7,126,18.4,8.22,8.25,7.87,20.8,20.75,50,20.3,0.81,1.02,1.19,2.11,8.4,1.73,0.522,0.5,0.375,0.38,0.19
14.1,W21X48,3950,W21X48,959,38.7,0.803,64.1,72.2,49.3,57.5,16.9,52.3,35.9,93,9.52,18.38,F,W,48,5.5,41,107,14.9,8.14,8.13,9.47,20.6,20.63,53.6,20.2,0.81,0.93,1.13,2.05,8.24,1.66,0.43,0.44,0.35,0.38,0.19
14.7,W21X50,2570,W21X50,984,24.9,1.14,59.6,66.1,48.1,54.7,16.7,53.9,28.9,94.5,7.64,18.38,F,W,50,3.5,33.1,110,12.2,6.53,6.5,6.1,20.8,20.88,49.4,20.3,0.81,1.04,1.25,1.64,8.18,1.3,0.535,0.56,0.38,0.38,0.19
16.7,W21X57,3190,W21X57,1170,30.6,1.77,60.2,66.8,48.8,55.3,20.5,63.4,35.8,111,9.35,18.38,F,W,57,3.5,33.5,129,14.8,6.56,6.5,5.04,21.1,21,46.3,20.5,0.81,1.15,1.31,1.68,8.36,1.35,0.65,0.63,0.405,0.38,0.19
91.6,W18X311,76200,W18X311,6970,795,176,76.7,88.7,56.6,68.6,140,375,482,624,132,15.13,T,W,311,5.5,58.7,754,207,12,12,2.19,22.3,22.38,10.4,19.6,1.56,3.24,3.56,3.53,8.72,2.95,2.74,2.75,1.52,1.5,0.75
13,W21X44,2110,W21X44,843,20.7,0.77,59.3,65.8,47.9,54.4,14,46.8,24.1,81.6,6.37,18.38,F,W,44,3.5,32.9,95.4,10.2,6.5,6.5,7.22,20.7,20.63,53.6,20.3,0.81,0.95,1.13,1.6,8.06,1.26,0.45,0.44,0.35,0.38,0.19
83.3,W18X283,65900,W18X283,6170,704,134,75.8,87.7,55.7,67.6,127,339,429,565,118,15.13,T,W,283,5.5,57.7,676,185,11.9,11.88,2.38,21.9,21.88,11.3,19.4,1.5,3,3.38,3.47,8.61,2.91,2.5,2.5,1.4,1.38,0.69
76,W18X258,57600,W18X258,5510,628,103,75.1,86.9,54.8,66.6,116,306,384,514,107,15.13,T,W,258,5.5,56.6,611,166,11.8,11.75,2.56,21.5,21.5,12.5,19.2,1.44,2.7,3.19,3.42,8.53,2.88,2.3,2.31,1.28,1.25,0.63
68.6,W18X234,50100,W18X234,4900,558,78.7,74.3,86,53.9,65.6,106,276,343,466,95.8,15.13,T,W,234,5.5,55.5,549,149,11.7,11.63,2.76,21.1,21,13.8,19,1.38,2.51,3,3.37,8.44,2.85,2.11,2.13,1.16,1.19,0.63
56.2,W18X192,38000,W18X192,3870,440,44.7,72.7,84.2,52.3,63.8,86,222,270,380,76.8,15.13,F,W,192,5.5,53.6,442,119,11.5,11.5,3.27,20.4,20.38,16.7,18.7,1.31,2.15,2.63,3.28,8.28,2.79,1.75,1.75,0.96,0.94,0.5
62.3,W18X211,43400,W18X211,4330,493,58.6,73.4,85,53,64.6,94.6,246,302,419,85.3,15.13,F,W,211,5.5,54.5,490,132,11.6,11.5,3.02,20.7,20.63,15.1,18.8,1.38,2.31,2.81,3.32,8.35,2.82,1.91,1.94,1.06,1.06,0.56
51.4,W18X175,33300,W18X175,3450,391,33.8,71.7,83.1,51.4,62.8,76.9,198,238,344,68.8,15.13,F,W,175,5.5,52.5,398,106,11.4,11.38,3.58,20,20,18,18.4,1.25,1.99,2.44,3.24,8.2,2.76,1.59,1.56,0.89,0.88,0.44
46.3,W18X158,29000,W18X158,3060,347,25.2,71,82.3,50.7,62,69,177,210,310,61.4,15.13,F,W,158,5.5,51.6,356,94.8,11.3,11.25,3.92,19.7,19.75,19.8,18.3,1.25,1.84,2.38,3.2,8.12,2.74,1.44,1.44,0.81,0.81,0.44
42,W18X143,25700,W18X143,2750,311,19.2,70.4,81.6,50.2,61.4,62.8,160,188,282,55.5,15.13,F,W,143,5.5,50.9,322,85.4,11.2,11.25,4.25,19.5,19.5,22,18.2,1.19,1.72,2.19,3.17,8.09,2.72,1.32,1.31,0.73,0.75,0.38
38.3,W18X130,22700,W18X130,2460,278,14.5,70.2,81.4,49.8,61,57.2,146,170,256,49.9,15.13,F,W,130,5.5,50.7,290,76.7,11.2,11.13,4.65,19.3,19.25,23.9,18.1,1.19,1.6,2.06,3.13,8.03,2.7,1.2,1.19,0.67,0.69,0.38
35.1,W18X119,20300,W18X119,2190,253,10.6,69.9,81.2,49.3,60.6,50.6,131,152,231,44.9,15.13,F,W,119,5.5,50.7,262,69.1,11.3,11.25,5.31,19,19,24.5,17.9,1.19,1.46,1.94,3.13,7.9,2.69,1.06,1.06,0.655,0.63,0.31
31.1,W18X106,17400,W18X106,1910,220,7.48,69.1,80.3,48.6,59.8,44.3,114,131,204,39.4,15.13,F,W,106,5.5,49.7,230,60.5,11.2,11.25,5.96,18.7,18.75,27.2,17.8,1.13,1.34,1.81,3.1,7.84,2.66,0.94,0.94,0.59,0.56,0.31
25.3,W18X86,13600,W18X86,1530,175,4.1,68.4,79.5,47.9,59,36,92.4,105,166,31.6,15.13,F,W,86,5.5,48.9,186,48.4,11.1,11.13,7.2,18.4,18.38,33.4,17.6,1.06,1.17,1.63,3.05,7.77,2.63,0.77,0.75,0.48,0.5,0.25
28.5,W18X97,15800,W18X97,1750,201,5.86,68.7,79.8,48.3,59.4,40.7,105,119,188,36.1,15.13,F,W,97,5.5,49.2,211,55.3,11.1,11.13,6.41,18.6,18.63,30,17.7,1.13,1.27,1.75,3.08,7.82,2.65,0.87,0.88,0.535,0.56,0.31
22.3,W18X76,11700,W18X76,1330,152,2.83,67.9,78.9,47.4,58.4,31.5,80.6,90.1,146,27.6,15.13,F,W,76,5.5,48.2,163,42.2,11,11,8.11,18.2,18.25,37.8,17.5,1.06,1.08,1.56,3.02,7.73,2.61,0.68,0.69,0.425,0.44,0.25
20.9,W18X71,4700,W18X71,1170,60.3,3.49,58.3,65.9,44.6,52.3,25.6,72.4,52.3,127,15.8,15.5,F,W,71,3.5,33.8,146,24.7,7.64,7.63,4.71,18.5,18.5,32.4,17.7,0.88,1.21,1.5,2.05,7.5,1.7,0.81,0.81,0.495,0.5,0.25
19.1,W18X65,4240,W18X65,1070,54.8,2.73,58,65.6,44.4,52,23.6,66.3,47.7,117,14.4,15.5,F,W,65,3.5,33.5,133,22.5,7.59,7.63,5.06,18.4,18.38,35.7,17.7,0.88,1.15,1.44,2.03,7.49,1.69,0.75,0.75,0.45,0.44,0.25
16.2,W18X55,3430,W18X55,890,44.9,1.66,57.3,64.8,43.7,51.3,19.6,55.3,39,98.3,11.9,15.5,F,W,55,3.5,32.9,112,18.5,7.53,7.5,5.98,18.1,18.13,41.1,17.5,0.81,1.03,1.31,2,7.41,1.67,0.63,0.63,0.39,0.38,0.19
17.6,W18X60,3850,W18X60,984,50.1,2.17,57.5,65.1,44,51.5,21.7,60.6,43.5,108,13.3,15.5,F,W,60,3.5,33.1,123,20.6,7.56,7.5,5.44,18.2,18.25,38.7,17.5,0.81,1.1,1.38,2.02,7.47,1.68,0.695,0.69,0.415,0.44,0.25
14.7,W18X50,3040,W18X50,800,40.1,1.24,57.1,64.6,43.5,51,17.7,49.9,34.9,88.9,10.7,15.5,F,W,50,3.5,32.7,101,16.6,7.5,7.5,6.57,18,18,45.2,17.4,0.81,0.972,1.25,1.98,7.38,1.65,0.57,0.56,0.355,0.38,0.19
13.5,W18X46,1720,W18X46,712,22.5,1.22,52.9,59,42.3,48.3,15.1,44.9,24.3,78.8,7.43,15.5,F,W,46,3.5,26.5,90.7,11.7,6.06,6,5.01,18.1,18,44.6,17.5,0.81,1.01,1.25,1.58,7.25,1.29,0.605,0.63,0.36,0.38,0.19
11.8,W18X40,1440,W18X40,612,19.1,0.81,52.6,58.6,41.8,47.8,13,38.6,20.7,68.4,6.35,15.5,F,W,40,3.5,26.1,78.4,10,6.02,6,5.73,17.9,17.88,50.9,17.4,0.81,0.927,1.19,1.56,7.21,1.27,0.525,0.5,0.315,0.31,0.19
10.3,W18X35,1140,W18X35,510,15.3,0.506,52.1,58.1,41.4,47.4,10.5,32.7,16.5,57.6,5.12,15.5,F,W,35,3.5,25.9,66.5,8.06,6,6,7.06,17.7,17.75,53.5,17.3,0.75,0.827,1.13,1.51,7.04,1.22,0.425,0.44,0.3,0.31,0.19
29.4,W16X100,11900,W16X100,1490,186,7.73,63.3,73.7,44.4,54.8,38.7,98.5,107,175,35.7,13.25,F,W,100,5.5,41.6,198,54.9,10.4,10.38,5.29,17,17,24.3,16,1.13,1.39,1.88,2.92,7.1,2.51,0.985,1,0.585,0.56,0.31
26.2,W16X89,10200,W16X89,1300,163,5.45,63.1,73.5,44,54.4,34.4,87.3,94.2,155,31.4,13.25,F,W,89,5.5,41.4,175,48.1,10.4,10.38,5.92,16.8,16.75,27,15.9,1.06,1.28,1.75,2.88,7.05,2.49,0.875,0.88,0.525,0.5,0.25
19.6,W16X67,7300,W16X67,954,119,2.39,61.7,71.9,42.8,53,25.5,64.1,67.6,117,23.2,13.25,F,W,67,5.5,39.9,130,35.5,10.2,10.25,7.7,16.3,16.38,35.9,15.6,1,1.07,1.56,2.82,6.96,2.46,0.665,0.69,0.395,0.38,0.19
22.6,W16X77,8590,W16X77,1110,138,3.57,62.3,72.6,43.3,53.6,29.4,74.4,79.3,134,26.9,13.25,F,W,77,5.5,40.5,150,41.1,10.3,10.25,6.77,16.5,16.5,31.2,15.7,1.06,1.16,1.63,2.85,7,2.47,0.76,0.75,0.455,0.44,0.25
16.8,W16X57,2660,W16X57,758,43.1,2.22,52.6,59.7,39.9,47,18.8,52,35.5,92.2,12.1,13.63,F,W,57,3.5,27.9,105,18.9,7.12,7.13,4.98,16.4,16.38,33,15.7,0.88,1.12,1.38,1.92,6.72,1.6,0.715,0.69,0.43,0.44,0.25
14.7,W16X50,2270,W16X50,659,37.2,1.52,52.3,59.4,39.7,46.7,16.5,45.6,30.8,81,10.5,13.63,F,W,50,3.5,27.7,92,16.3,7.07,7.13,5.61,16.3,16.25,37.4,15.7,0.81,1.03,1.31,1.89,6.68,1.59,0.63,0.63,0.38,0.38,0.19
11.8,W16X40,1730,W16X40,518,28.9,0.794,51.7,58.7,39,46,13.1,36,24,64.7,8.25,13.63,F,W,40,3.5,27.1,73,12.7,7,7,6.93,16,16,46.5,15.5,0.81,0.907,1.19,1.86,6.63,1.57,0.505,0.5,0.305,0.31,0.19
13.3,W16X45,1990,W16X45,586,32.8,1.11,52,59,39.2,46.3,14.7,40.6,27.2,72.7,9.34,13.63,F,W,45,3.5,27.3,82.3,14.5,7.04,7,6.23,16.1,16.13,41.1,15.5,0.81,0.967,1.25,1.87,6.65,1.57,0.565,0.56,0.345,0.38,0.19
10.6,W16X36,1460,W16X36,448,24.5,0.545,51.5,58.5,38.8,45.8,11.1,31.6,20.3,56.5,7,13.63,F,W,36,3.5,27,64,10.8,6.99,7,8.12,15.9,15.88,48.1,15.5,0.75,0.832,1.13,1.83,6.51,1.52,0.43,0.44,0.295,0.31,0.19
9.13,W16X31,739,W16X31,375,12.4,0.461,47.2,52.7,37.3,42.9,8.94,26.6,13,47.2,4.49,13.63,F,W,31,3.5,21.4,54,7.03,5.53,5.5,6.28,15.9,15.88,51.6,15.5,0.75,0.842,1.13,1.42,6.41,1.17,0.44,0.44,0.275,0.25,0.13
7.68,W16X26,565,W16X26,301,9.59,0.262,46.7,52.2,36.9,42.4,6.95,21.6,10,38.4,3.49,13.63,F,W,26,3.5,21.1,44.2,5.48,5.5,5.5,7.97,15.7,15.75,56.8,15.4,0.75,0.747,1.06,1.38,6.26,1.12,0.345,0.38,0.25,0.25,0.13
257,W14X873,505000,W14X873,18100,6170,2270,95.2,114,66,84.8,370,1010,2200,1530,656,11.25,T,W,873,8.5,85,2030,1020,18.8,18.75,1.71,23.6,23.63,2.89,18.1,2.56,6.1,6.19,6.04,8.39,4.9,5.51,5.5,3.94,3.94,2
238,W14X808,434000,W14X808,15900,5550,1840,93.4,112,64.2,82.8,336,916,1960,1390,597,11.25,T,W,808,8.5,82.2,1830,930,18.6,18.63,1.82,22.8,22.75,3.04,17.7,2.5,5.71,5.75,5.94,8.17,4.83,5.12,5.13,3.74,3.75,1.88
215,W14X730,362000,W14X730,14300,4720,1450,91.1,109,62.7,80.6,318,829,1720,1280,527,10,T,W,730,7.5,78.3,1660,816,17.9,17.88,1.82,22.4,22.38,3.71,17.5,2.75,5.51,6.19,5.68,8.17,4.69,4.91,4.94,3.07,3.06,1.56
196,W14X665,305000,W14X665,12400,4170,1120,89.3,107,60.9,78.6,287,739,1510,1150,472,10,T,W,665,7.5,75.6,1480,730,17.7,17.63,1.95,21.6,21.63,4.03,17.1,2.63,5.12,5.81,5.57,7.98,4.62,4.52,4.5,2.83,2.81,1.44
162,W14X550,219000,W14X550,9430,3250,669,85.8,103,57.6,74.8,232,585,1160,931,378,10,T,W,550,7.5,70.4,1180,583,17.2,17.25,2.25,20.2,20.25,4.79,16.4,2.38,4.42,5.13,5.35,7.63,4.49,3.82,3.81,2.38,2.38,1.19
178,W14X605,258000,W14X605,10800,3680,869,87.6,105,59.2,76.6,258,657,1320,1040,423,10,T,W,605,7.5,72.8,1320,652,17.4,17.38,2.09,20.9,20.88,4.39,16.7,2.5,4.76,5.44,5.44,7.8,4.55,4.16,4.19,2.6,2.63,1.31
147,W14X500,187000,W14X500,8210,2880,514,85,102,56.2,73.2,209,522,1020,838,339,10,T,W,500,7.5,68.4,1050,522,17,17,2.43,19.6,19.63,5.21,16.1,2.31,4.1,4.81,5.26,7.48,4.43,3.5,3.5,2.19,2.19,1.13
134,W14X455,160000,W14X455,7190,2560,395,83.2,100,54.8,71.6,187,466,894,756,304,10,T,W,455,7.5,66.3,936,468,16.8,16.88,2.62,19,19,5.66,15.8,2.25,3.81,4.5,5.17,7.33,4.38,3.21,3.19,2.02,2,1
125,W14X426,144000,W14X426,6600,2360,331,82.7,99.4,54.1,70.8,176,435,830,706,283,10,T,W,426,7.5,65.4,869,434,16.7,16.75,2.75,18.7,18.63,6.08,15.7,2.13,3.63,4.31,5.11,7.26,4.34,3.04,3.06,1.88,1.88,0.94
117,W14X398,129000,W14X398,6000,2170,273,81.8,98.4,53.2,69.8,163,401,758,656,262,10,T,W,398,7.5,64.1,801,402,16.6,16.63,2.92,18.3,18.25,6.44,15.5,2.13,3.44,4.13,5.05,7.16,4.31,2.85,2.88,1.77,1.75,0.88
109,W14X370,116000,W14X370,5440,1990,222,81,97.5,52.3,68.8,150,367,690,607,241,10,T,W,370,7.5,62.9,736,370,16.5,16.5,3.1,17.9,17.88,6.89,15.2,2.06,3.26,3.94,5,7.07,4.27,2.66,2.69,1.66,1.69,0.81
91.4,W14X311,89100,W14X311,4330,1610,136,79,95.2,50.4,66.6,124,300,550,506,199,10,T,W,311,7.5,60.1,603,304,16.2,16.25,3.59,17.1,17.13,8.09,14.8,1.94,2.86,3.56,4.87,6.88,4.2,2.26,2.25,1.41,1.44,0.75
101,W14X342,103000,W14X342,4900,1810,178,80.1,96.5,51.4,67.8,138,335,624,558,221,10,T,W,342,7.5,61.6,672,338,16.4,16.38,3.31,17.5,17.5,7.41,15,2,3.07,3.75,4.95,6.98,4.24,2.47,2.5,1.54,1.56,0.81
83.3,W14X283,77700,W14X283,3840,1440,104,78.1,94.2,49.5,65.6,112,269,491,459,179,10,T,W,283,7.5,58.9,542,274,16.1,16.13,3.89,16.7,16.75,8.84,14.6,1.88,2.67,3.38,4.8,6.79,4.17,2.07,2.06,1.29,1.31,0.69
75.6,W14X257,67800,W14X257,3400,1290,79.1,77.4,93.4,48.8,64.8,102,243,439,415,161,10,F,W,257,7.5,58,487,246,16,16,4.23,16.4,16.38,9.71,14.5,1.81,2.49,3.19,4.75,6.71,4.13,1.89,1.88,1.18,1.19,0.63
68.5,W14X233,59000,W14X233,3010,1150,59.5,76.5,92.4,47.9,63.8,91.1,216,388,375,145,10,F,W,233,7.5,56.8,436,221,15.9,15.88,4.62,16,16,10.7,14.3,1.75,2.32,3,4.69,6.63,4.1,1.72,1.75,1.07,1.06,0.56
62,W14X211,51500,W14X211,2660,1030,44.6,75.8,91.6,47.2,63,81.7,194,344,338,130,10,F,W,211,7.5,55.9,390,198,15.8,15.75,5.06,15.7,15.75,11.6,14.1,1.69,2.16,2.88,4.64,6.55,4.07,1.56,1.56,0.98,1,0.5
56.8,W14X193,45900,W14X193,2400,931,34.8,75.3,91,46.7,62.4,75,177,312,310,119,10,F,W,193,7.5,55.2,355,180,15.7,15.75,5.45,15.5,15.5,12.8,14.1,1.69,2.04,2.75,4.59,6.5,4.05,1.44,1.44,0.89,0.88,0.44
51.8,W14X176,40500,W14X176,2140,838,26.5,74.8,90.5,46.1,61.8,67.6,159,280,281,107,10,F,W,176,7.5,54.5,320,163,15.7,15.63,5.97,15.2,15.25,13.7,13.9,1.63,1.91,2.63,4.55,6.43,4.02,1.31,1.31,0.83,0.81,0.44
46.7,W14X159,35600,W14X159,1900,748,19.7,74.3,89.9,45.6,61.2,61,143,250,254,96.2,10,F,W,159,7.5,53.9,287,146,15.6,15.63,6.54,15,15,15.3,13.8,1.56,1.79,2.5,4.51,6.38,4,1.19,1.19,0.745,0.75,0.38
42.7,W14X145,31700,W14X145,1710,677,15.2,73.7,89.2,45.1,60.6,55.4,129,224,232,87.3,10,F,W,145,7.5,53.1,260,133,15.5,15.5,7.11,14.8,14.75,16.8,13.7,1.56,1.69,2.38,4.47,6.33,3.98,1.09,1.06,0.68,0.69,0.38
38.8,W14X132,25500,W14X132,1530,548,12.3,71.2,85.9,44.1,58.8,49.5,116,190,209,74.5,10,F,W,132,5.5,50.2,234,113,14.7,14.75,7.15,14.7,14.63,17.7,13.7,1.56,1.63,2.31,4.23,6.28,3.76,1.03,1,0.645,0.63,0.31
35.3,W14X120,22700,W14X120,1380,495,9.37,70.9,85.6,43.7,58.4,45,105,172,190,67.5,10,F,W,120,5.5,49.8,212,102,14.7,14.63,7.8,14.5,14.5,19.3,13.6,1.5,1.54,2.25,4.2,6.24,3.74,0.94,0.94,0.59,0.56,0.31
29.1,W14X99,18000,W14X99,1110,402,5.37,70.2,84.8,43,57.6,36.9,86.1,139,157,55.2,10,F,W,99,5.5,49,173,83.6,14.6,14.63,9.34,14.2,14.13,23.5,13.4,1.44,1.38,2.06,4.14,6.17,3.71,0.78,0.75,0.485,0.5,0.25
32,W14X109,20200,W14X109,1240,447,7.12,70.3,84.9,43.2,57.8,40.7,94.8,154,173,61.2,10,F,W,109,5.5,49.1,192,92.7,14.6,14.63,8.49,14.3,14.38,21.7,13.4,1.5,1.46,2.19,4.17,6.22,3.73,0.86,0.88,0.525,0.5,0.25
26.5,W14X90,16000,W14X90,999,362,4.06,69.6,84.1,42.5,57,33.2,77.1,124,143,49.9,10,F,W,90,5.5,48.2,157,75.6,14.5,14.5,10.2,14,14,25.9,13.3,1.44,1.31,2,4.1,6.14,3.7,0.71,0.69,0.44,0.44,0.25
24,W14X82,6710,W14X82,881,148,5.07,56.9,67,38.7,48.8,27.6,68.2,73.3,123,29.3,10.88,F,W,82,5.5,33.9,139,44.8,10.1,10.13,5.92,14.3,14.25,22.4,13.4,1.06,1.45,1.69,2.85,6.05,2.48,0.855,0.88,0.51,0.5,0.25
21.8,W14X74,5990,W14X74,795,134,3.87,56.8,66.9,38.5,48.6,25.4,62.2,67.1,112,26.6,10.88,F,W,74,5.5,33.9,126,40.5,10.1,10.13,6.41,14.2,14.13,25.4,13.4,1.06,1.38,1.63,2.83,6.04,2.48,0.785,0.81,0.45,0.44,0.25
20,W14X68,5380,W14X68,722,121,3.01,56.2,66.2,38,48,22.9,56,59.8,103,24.2,10.88,F,W,68,5.5,33.2,115,36.9,10,10,6.97,14,14,27.5,13.3,1.06,1.31,1.56,2.8,6.01,2.46,0.72,0.75,0.415,0.44,0.25
17.9,W14X61,4710,W14X61,640,107,2.19,56,66,37.8,47.8,20.6,50.2,53.4,92.1,21.5,10.88,F,W,61,5.5,33.1,102,32.8,10,10,7.75,13.9,13.88,30.4,13.3,1,1.24,1.5,2.78,5.98,2.45,0.645,0.63,0.375,0.38,0.19
15.6,W14X53,2540,W14X53,541,57.7,1.94,50.2,58.3,35.9,43.9,16.8,42.5,35.5,77.8,14.3,10.88,F,W,53,5.5,26.7,87.1,22,8.06,8,6.11,13.9,13.88,30.9,13.2,1,1.25,1.5,2.22,5.89,1.92,0.66,0.69,0.37,0.38,0.19
14.1,W14X48,2240,W14X48,484,51.4,1.45,50,58,35.6,43.7,15.1,38.3,31.7,70.2,12.8,10.88,F,W,48,5.5,26.5,78.4,19.6,8.03,8,6.75,13.8,13.75,33.6,13.2,1,1.19,1.44,2.2,5.85,1.91,0.595,0.63,0.34,0.31,0.19
12.6,W14X43,1950,W14X43,428,45.2,1.05,49.8,57.8,35.4,43.4,13.4,34,27.9,62.6,11.3,10.88,F,W,43,5.5,26.3,69.6,17.3,8,8,7.54,13.7,13.63,37.4,13.2,1,1.12,1.38,2.18,5.82,1.89,0.53,0.5,0.305,0.31,0.19
