A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
72.5,W36X247,316000,W36X247,16700,1010,34.7,120,136,89.9,106,187,509,812,913,123,31.375,F,W,247,7.5,146,1030,190,16.5,16.5,6.11,36.7,36.625,40.1,35.4,1.625,2.3,2.625,4.42,15.2,3.74,1.35,1.375,0.8,0.813,0.438
75.3,W36X256,168000,W36X256,16800,528,52.9,108,120,87,99.2,174,516,576,895,86.5,31.5,F,W,256,5.5,109,1040,137,12.2,12.25,3.53,37.4,37.375,33.8,35.7,1.688,2.48,2.938,3.24,14.9,2.65,1.73,1.75,0.96,0.938,0.5
68,W36X232,148000,W36X232,15000,468,39.6,108,120,86.3,98.4,157,464,512,809,77.2,31.5,F,W,232,5.5,108,936,122,12.1,12.125,3.86,37.1,37.125,37.3,35.5,1.625,2.32,2.813,3.21,14.8,2.62,1.57,1.563,0.87,0.875,0.438
61.9,W36X210,128000,W36X210,13200,411,28,107,119,85.6,97.8,136,412,446,719,67.5,31.5,F,W,210,5.5,108,833,107,12.2,12.125,4.48,36.7,36.75,39.1,35.3,1.625,2.11,2.625,3.18,14.6,2.58,1.36,1.375,0.83,0.813,0.438
57,W36X194,116000,W36X194,12100,375,22.2,107,119,85.1,97.2,126,379,407,664,61.9,31.5,F,W,194,5.5,107,767,97.7,12.1,12.125,4.81,36.5,36.5,42.4,35.2,1.563,2.01,2.5,3.15,14.6,2.56,1.26,1.25,0.765,0.75,0.375
53.6,W36X182,107000,W36X182,11300,347,18.5,106,118,84.7,96.8,118,355,378,623,57.6,31.5,F,W,182,5.5,106,718,90.7,12.1,12.125,5.12,36.3,36.375,44.8,35.1,1.563,1.93,2.375,3.13,14.5,2.55,1.18,1.188,0.725,0.75,0.375
50,W36X170,98500,W36X170,10500,320,15.1,106,118,84.4,96.4,109,330,349,581,53.2,31.5,F,W,170,5.5,105,668,83.8,12,12,5.47,36.2,36.125,47.7,35.1,1.563,1.85,2.375,3.11,14.5,2.53,1.1,1.125,0.68,0.688,0.375
47,W36X160,90200,W36X160,9760,295,12.4,105,117,84,96,101,308,321,542,49.1,31.5,F,W,160,5.5,105,624,77.3,12,12,5.88,36,36,49.9,35,1.563,1.77,2.25,3.09,14.4,2.5,1.02,1,0.65,0.625,0.313
44.3,W36X150,82200,W36X150,9040,270,10.1,105,117,83.8,95.8,93.1,287,294,504,45.1,31.5,F,W,150,5.5,105,581,70.9,12,12,6.37,35.9,35.875,51.9,35,1.5,1.69,2.188,3.06,14.3,2.47,0.94,0.938,0.625,0.625,0.313
39.9,W36X135,68100,W36X135,7800,225,7,105,117,83.2,95.2,77.9,251,245,439,37.7,31.5,F,W,135,5.5,104,509,59.7,12,12,7.56,35.6,35.5,54.1,34.8,1.5,1.54,2.063,2.99,14,2.38,0.79,0.813,0.6,0.625,0.313
114,W33X387,459000,W33X387,24300,1620,148,117,133,88.2,104,287,778,1260,1350,200,28.875,T,W,387,5.5,137,1560,312,16.2,16.25,3.55,36,36,23.7,33.7,1.813,3.07,3.563,4.49,14.6,3.77,2.28,2.25,1.26,1.25,0.625
104,W33X354,408000,W33X354,22000,1460,115,116,132,87.3,103,262,707,1130,1240,181,28.875,T,W,354,5.5,135,1420,282,16.1,16.125,3.85,35.6,35.5,25.7,33.5,1.813,2.88,3.375,4.44,14.5,3.74,2.09,2.063,1.16,1.188,0.625
85.6,W33X291,319000,W33X291,17700,1160,65.1,114,130,85.5,101,214,573,904,1020,146,28.875,F,W,291,5.5,131,1160,226,15.9,15.875,4.6,34.8,34.875,31,33.1,1.688,2.52,2.938,4.34,14.4,3.68,1.73,1.75,0.96,0.938,0.5
93.7,W33X318,357000,W33X318,19500,1290,84.4,115,131,86.4,102,235,632,1010,1110,161,28.875,F,W,318,5.5,133,1270,250,16,16,4.23,35.2,35.125,28.7,33.3,1.75,2.68,3.188,4.4,14.5,3.71,1.89,1.875,1.04,1.063,0.563
71.1,W33X241,251000,W33X241,14200,933,36.2,113,129,84.3,100,173,467,726,831,118,28.875,F,W,241,5.5,130,940,182,15.9,15.875,5.66,34.2,34.125,35.9,32.8,1.625,2.19,2.688,4.29,14.1,3.62,1.4,1.375,0.83,0.813,0.438
77.4,W33X263,281000,W33X263,15900,1040,48.7,113,129,84.8,101,193,515,807,919,131,28.875,F,W,263,5.5,130,1040,202,15.8,15.75,5.03,34.5,34.5,34.3,32.9,1.625,2.36,2.813,4.31,14.3,3.66,1.57,1.563,0.87,0.875,0.438
65.3,W33X221,224000,W33X221,12900,840,27.8,112,128,83.6,99.4,156,423,647,759,106,28.875,F,W,221,5.5,129,857,164,15.8,15.75,6.2,33.9,33.875,38.5,32.6,1.625,2.06,2.5,4.25,14.1,3.59,1.28,1.25,0.775,0.75,0.375
59.1,W33X201,198000,W33X201,11600,749,20.8,111,127,83.1,98.8,140,382,577,686,95.2,28.875,F,W,201,5.5,128,773,147,15.7,15.75,6.85,33.7,33.625,41.7,32.6,1.563,1.94,2.438,4.21,14,3.56,1.15,1.125,0.715,0.688,0.375
49.5,W33X169,82400,W33X169,9290,310,17.7,99.5,111,79.1,90.6,108,311,329,549,53.9,28.875,F,W,169,5.5,93.7,629,84.4,11.5,11.5,4.71,33.8,33.875,44.7,32.6,1.563,1.92,2.438,3.03,13.7,2.5,1.22,1.25,0.67,0.688,0.375
44.9,W33X152,71700,W33X152,8160,273,12.4,99.4,111,78.6,90.2,94.3,278,289,487,47.2,28.875,F,W,152,5.5,94.1,559,73.9,11.6,11.625,5.48,33.5,33.5,47.2,32.4,1.5,1.76,2.313,3.01,13.5,2.47,1.06,1.063,0.635,0.625,0.313
41.5,W33X141,64400,W33X141,7450,246,9.7,98.5,110,78.1,89.6,84.6,253,257,448,42.7,28.875,F,W,141,5.5,93,514,66.9,11.5,11.5,6.01,33.3,33.25,49.6,32.3,1.5,1.66,2.188,2.98,13.4,2.43,0.96,0.938,0.605,0.625,0.313
38.3,W33X130,56600,W33X130,6710,218,7.37,98.5,110,77.7,89.2,75.3,230,228,406,37.9,28.875,F,W,130,5.5,92.7,467,59.5,11.5,11.5,6.73,33.1,33.125,51.7,32.2,1.5,1.56,2.125,2.94,13.2,2.39,0.855,0.875,0.58,0.563,0.313
34.7,W33X118,48300,W33X118,5900,187,5.3,97.5,109,77.3,88.8,65.1,205,197,359,32.6,28.875,F,W,118,5.5,92.5,415,51.3,11.5,11.5,7.76,32.9,32.875,54.5,32.2,1.5,1.44,2,2.89,13,2.32,0.74,0.75,0.55,0.563,0.313
105,W30X357,324000,W30X357,18700,1390,134,108,124,81.1,96.6,244,655,1030,1140,179,25.75,T,W,357,5.5,118,1320,279,15.5,15.5,3.45,32.8,32.75,21.6,30.6,1.813,3.03,3.5,4.31,13.3,3.64,2.24,2.25,1.24,1.25,0.625
115,W30X391,366000,W30X391,20700,1550,173,109,125,82,97.6,267,722,1140,1250,198,25.75,T,W,391,5.5,120,1450,310,15.6,15.625,3.19,33.2,33.25,19.7,30.8,1.875,3.23,3.75,4.37,13.4,3.67,2.44,2.438,1.36,1.375,0.688
