A,AISC_name,Cw,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sw2,Sw3,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,b_t,d,ddet,eo,h_tw,ho,kdes,kdet,ro,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2,x,xp
10.3,MC12X35,297,MC12X35,0.831,216,12.6,1.24,34,37.7,27.8,31.5,13.1,21.4,9.88,6.52,3.15,36,4.64,9.375,F,MC,35,2.5,12.6,43.2,8.62,3.77,3.75,5.39,12,12,1.07,20.6,11.3,1.31,1.313,5.18,1.3,4.59,1.11,0.7,0.688,0.465,0.438,0.25,0.25,0.428
4.18,MC12X14.3,32.8,MC12X14.3,0.965,76.1,1,0.117,29,31.1,26.1,28.2,3.42,7.92,1.89,1.6,0.796,12.7,0.574,10.5,F,MC,14.3,1.25,8.39,15.9,1.21,2.12,2.125,6.77,12,12,0.435,43.5,11.7,0.75,0.75,4.37,0.672,4.27,0.489,0.313,0.313,0.25,0.25,0.125,0.125,0.174
3.1,MC12X10.6,11.7,MC12X10.6,0.983,55.3,0.378,0.0596,27.8,29.3,25.5,27,2.37,5.79,0.951,0.822,0.41,9.22,0.307,10.5,F,MC,10.6,0,6,11.6,0.635,1.5,1.5,4.85,12,12,0.284,57.3,11.7,0.75,0.75,4.27,0.478,4.22,0.349,0.309,0.313,0.19,0.188,0.125,0.125,0.129
9.12,MC12X31,267,MC12X31,0.822,202,11.3,1,33.7,37.4,27.7,31.3,13.1,19.7,8.97,5.34,2.66,33.7,4.37,9.375,F,MC,31,2.25,12,39.7,8.15,3.67,3.625,5.24,12,12,1.17,25.9,11.3,1.31,1.313,5.34,1.28,4.71,1.11,0.7,0.688,0.37,0.375,0.188,0.188,0.425
9.87,MC10X33.6,224,MC10X33.6,0.77,139,13.1,1.2,30.8,34.9,24.1,28.2,9.55,16.7,8.24,5.78,2.83,27.8,4.35,7.375,F,MC,33.6,2.5,11.6,33.7,8.28,4.1,4.125,7.13,10,10,1.06,13.4,9.43,1.31,1.313,4.47,1.4,3.75,1.15,0.575,0.563,0.575,0.563,0.313,0.313,0.494
12.1,MC10X41.1,269,MC10X41.1,0.79,157,15.7,2.26,31.4,35.7,24.3,28.6,9.55,19.5,9.59,7.43,3.74,31.5,4.85,7.375,F,MC,41.1,2.5,12.5,39.3,9.49,4.32,4.375,7.51,10,10,0.864,9.66,9.43,1.31,1.313,4.26,1.44,3.61,1.14,0.575,0.563,0.796,0.813,0.438,0.438,0.604
6.45,MC10X22,110,MC10X22,0.791,102,6.4,0.51,28.7,32,23.3,26.6,8.21,11.8,4.95,2.78,1.3,20.5,2.75,7.375,F,MC,22,2,9,23.9,5.29,3.32,3.375,5.77,10,10,1.12,26.5,9.43,1.31,1.313,4.62,1.14,3.99,0.997,0.575,0.563,0.29,0.313,0.188,0.188,0.467
8.37,MC10X28.5,193,MC10X28.5,0.752,126,11.3,0.791,30.4,34.3,24,27.9,9.55,14.9,7.26,4.52,2.2,25.3,3.99,7.375,F,MC,28.5,2.5,10.9,30,7.59,3.95,4,6.87,10,10,1.21,18.1,9.43,1.31,1.313,4.68,1.36,3.89,1.16,0.575,0.563,0.425,0.438,0.25,0.25,0.419
1.95,MC10X6.5,2.76,MC10X6.5,0.988,22.9,0.133,0.0191,22.6,23.8,21.2,22.3,1.01,2.91,0.346,0.313,0.158,4.59,0.137,8.875,F,MC,6.5,0,4.1,5.9,0.284,1.17,1.125,5.79,10,10,0.182,59.8,9.8,0.563,0.563,3.46,0.363,3.43,0.262,0.202,0.188,0.152,0.125,0.063,0.063,0.0975
7.34,MC10X25,124,MC10X25,0.803,110,7.25,0.638,28.9,32.3,23.4,26.8,8.21,13,5.42,3.4,1.75,22,2.96,7.375,F,MC,25,2,9.43,26.2,5.65,3.41,3.375,5.93,10,10,1.03,20.2,9.43,1.31,1.313,4.46,1.17,3.87,0.993,0.575,0.563,0.38,0.375,0.188,0.188,0.367
2.46,MC10X8.4,7,MC10X8.4,0.972,31.9,0.326,0.0413,23.8,25.3,21.5,23,1.81,3.93,0.678,0.559,0.278,6.39,0.268,8.5,F,MC,8.4,0,4.85,7.92,0.548,1.5,1.5,5.36,10,10,0.332,52.6,9.72,0.75,0.75,3.68,0.486,3.61,0.364,0.28,0.25,0.17,0.188,0.125,0.125,0.123
7.47,MC9X25.4,104,MC9X25.4,0.77,87.9,7.57,0.691,27.2,30.7,21.5,25,7.09,11.6,4.95,3.25,1.61,19.5,2.99,6.5,F,MC,25.4,2,8.72,23.5,5.7,3.5,3.5,6.36,9,9,0.986,15.1,8.45,1.25,1.25,4.08,1.2,3.43,1.01,0.55,0.563,0.45,0.438,0.25,0.25,0.415
6.28,MC8X21.4,70.8,MC8X21.4,0.707,61.5,6.58,0.495,25.1,28.5,19.5,22.9,6.03,9.03,3.87,2.27,1.08,15.4,2.71,5.625,F,MC,21.4,2,7.42,18.2,5.18,3.45,3.5,6.57,8,8,1.09,15.7,7.48,1.19,1.188,3.91,1.18,3.13,1.02,0.525,0.5,0.375,0.375,0.188,0.188,0.452
7.02,MC9X23.9,98,MC9X23.9,0.763,84.9,7.14,0.599,27,30.5,21.5,24.9,7.09,11.1,4.69,2.91,1.52,18.9,2.89,6.5,F,MC,23.9,2,8.49,22.5,5.51,3.45,3.5,6.27,9,9,1.04,17,8.45,1.25,1.25,4.15,1.18,3.48,1.01,0.55,0.563,0.4,0.375,0.188,0.188,0.39
6.7,MC8X22.8,75.2,MC8X22.8,0.715,63.8,7.01,0.572,25.2,28.7,19.5,23,6.03,9.45,4.06,2.52,1.22,15.9,2.81,5.625,F,MC,22.8,2,7.6,19.1,5.37,3.5,3.5,6.67,8,8,1.04,13.8,7.48,1.19,1.188,3.84,1.2,3.09,1.02,0.525,0.5,0.427,0.438,0.25,0.25,0.419
2.5,MC8X8.5,8.21,MC8X8.5,0.91,23.3,0.624,0.0587,20.8,22.7,17.9,19.7,2.02,3.45,0.789,0.551,0.285,5.82,0.431,6.375,F,MC,8.5,1.125,4.42,6.95,0.875,1.87,1.875,6.01,8,8,0.542,38.4,7.69,0.813,0.813,3.24,0.624,3.05,0.5,0.311,0.313,0.179,0.188,0.125,0.125,0.156
6.67,MC7X22.7,58.3,MC7X22.7,0.659,47.4,7.24,0.625,23.5,27.1,17.6,21.2,5.03,8.11,3.54,2.25,1.1,13.5,2.83,4.75,F,MC,22.7,2,6.78,16.4,5.38,3.6,3.625,7.2,7,7,1.01,9.94,6.5,1.13,1.125,3.53,1.23,2.67,1.04,0.5,0.5,0.503,0.5,0.25,0.25,0.477
5.61,MC7X19.1,49.3,MC7X19.1,0.638,43.1,6.06,0.407,23.1,26.5,17.5,20.9,5.03,7.19,3.08,1.65,0.815,12.3,2.55,4.75,F,MC,19.1,2,6.33,14.5,4.85,3.45,3.5,6.9,7,7,1.15,14.2,6.5,1.13,1.125,3.7,1.19,2.77,1.04,0.5,0.5,0.352,0.375,0.188,0.188,0.579
5.5,MC8X18.7,45,MC8X18.7,0.773,52.4,4.15,0.38,23.8,26.8,19,22,4.93,7.75,2.83,1.77,0.875,13.1,1.95,5.75,F,MC,18.7,2,6.52,15.6,3.72,2.98,3,5.96,8,8,0.889,17,7.5,1.13,1.125,3.65,1.02,3.09,0.868,0.5,0.5,0.353,0.375,0.188,0.188,0.344
5.87,MC8X20,47.8,MC8X20,0.779,54.4,4.42,0.441,23.9,27,19,22.1,4.93,8.13,2.99,1.97,0.963,13.6,2.02,5.75,F,MC,20,2,6.7,16.4,3.86,3.03,3,6.06,8,8,0.843,15,7.5,1.13,1.125,3.58,1.03,3.04,0.867,0.5,0.5,0.4,0.375,0.188,0.188,0.367
5.29,MC6X18,34.6,MC6X18,0.563,29.7,5.88,0.379,21.2,24.7,15.5,19,4.1,5.8,2.5,1.28,0.682,9.89,2.47,3.875,F,MC,18,2,5.39,11.7,4.68,3.5,3.5,7.37,6,6,1.17,10.8,5.53,1.06,1.063,3.46,1.2,2.37,1.05,0.475,0.5,0.379,0.375,0.188,0.188,0.644
4.44,MC6X15.1,20.5,MC6X15.1,0.634,24.9,3.46,0.285,19.7,22.6,14.9,17.9,3.44,4.87,1.77,0.915,0.457,8.3,1.73,3.875,F,MC,15.1,1.75,4.54,9.83,3.3,2.94,3,6.19,6,6,0.982,12.9,5.53,1.06,1.063,3.18,1.01,2.37,0.883,0.475,0.5,0.316,0.313,0.188,0.188,0.543
4.79,MC6X16.3,22.1,MC6X16.3,0.643,26,3.77,0.336,19.9,22.9,15,18,3.44,5.13,1.88,1.06,0.536,8.66,1.82,3.875,F,MC,16.3,1.75,4.68,10.4,3.47,3,3,6.32,6,6,0.93,10.9,5.53,1.06,1.063,3.11,1.03,2.33,0.887,0.475,0.5,0.375,0.375,0.188,0.188,0.465
3.53,MC6X12,11.3,MC6X12,0.74,18.7,1.85,0.155,18.6,21.1,14.5,17,2.31,3.7,1.13,0.723,0.354,6.24,1.03,4.25,F,MC,12,1.5,4.12,7.47,1.97,2.5,2.5,6.67,6,6,0.725,14.5,5.63,0.875,0.875,2.8,0.856,2.3,0.724,0.375,0.375,0.31,0.313,0.188,0.188,0.294
4.49,MC6X15.3,30,MC6X15.3,0.579,25.3,4.91,0.223,21.3,24.8,15.5,19,3.42,4.95,2.16,1.21,0.575,8.44,2.01,4.25,F,MC,15.3,2,5.62,9.91,3.85,3.5,3.5,9.09,6,6,1.16,13.1,5.62,0.875,0.875,3.41,1.2,2.38,1.05,0.385,0.375,0.34,0.313,0.188,0.188,0.511
2.09,MC6X7,4,MC6X7,0.83,11.4,0.603,0.0464,16.3,18.2,13.9,15.8,1.41,2.22,0.519,0.331,0.16,3.81,0.439,4.5,F,MC,7,0,3.19,4.5,0.865,1.88,1.875,6.46,6,6,0.583,26,5.71,0.75,0.75,2.63,0.638,2.34,0.537,0.291,0.313,0.179,0.188,0.125,0.125,0.174
4.03,MC4X13.8,4.84,MC4X13.8,0.55,8.85,2.13,0.373,13.3,15.8,10.5,13,1.75,2.75,0.806,0.457,0.227,4.43,1.29,2,F,MC,13.8,0,2.37,5.53,2.4,2.5,2.5,5,4,4,0.643,4.48,3.5,1,1,2.23,0.851,1.48,0.727,0.5,0.5,0.5,0.5,0.25,0.25,0.508
1.95,MC6X6.5,3.75,MC6X6.5,0.824,11,0.565,0.0412,16.3,18.1,13.9,15.7,1.41,2.11,0.487,0.29,0.146,3.66,0.422,4.5,F,MC,6.5,0,3.09,4.28,0.836,1.85,1.875,6.36,6,6,0.612,30.1,5.71,0.75,0.75,2.68,0.631,2.38,0.539,0.291,0.313,0.155,0.125,0.063,0.063,0.191
2.11,MC3X7.1,0.915,MC3X7.1,0.516,2.72,0.666,0.0928,10.2,12.2,7.94,9.88,0.757,1.11,0.258,0.134,0.0659,1.81,0.518,1.375,F,MC,7.1,0,1.4,2.24,0.998,1.94,2,5.53,3,3,0.574,4.93,2.65,0.813,0.813,1.76,0.657,1.14,0.562,0.351,0.375,0.312,0.313,0.188,0.188,0.414
