A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
3.64,2L4X3-1/2X1/4X3/4SLBB,2L4X3-1/2X1/4X3/4SLBB,0.894,4.13,14.1,1.59,3.22,F,2L,12.4,2.8,5.51,4,16,3.5,2.37,1.07,1.97,0.25,0.897,0.228
7.98,2L4X3X5/8SLBB,2L4X3X5/8SLBB,0.93,5.7,27,2.67,6.75,F,2L,27.2,4.9,10.9,4,6.4,3,2.1,0.845,1.84,0.625,0.867,0.499
7.98,2L4X3X5/8X3/8SLBB,2L4X3X5/8X3/8SLBB,0.938,5.7,31.3,2.67,7.47,F,2L,27.2,4.9,12.4,4,6.4,3,2.22,0.845,1.98,0.625,0.867,0.499
7.98,2L4X3X5/8X3/4SLBB,2L4X3X5/8X3/4SLBB,0.945,5.7,36.2,2.67,8.27,F,2L,27.2,4.9,13.9,4,6.4,3,2.36,0.845,2.13,0.625,0.867,0.499
6.5,2L4X3X1/2SLBB,2L4X3X1/2SLBB,0.925,4.79,21.3,2.2,5.32,F,2L,22.2,3.99,8.58,4,8,3,2.09,0.858,1.81,0.5,0.822,0.406
6.5,2L4X3X1/2X3/8SLBB,2L4X3X1/2X3/8SLBB,0.933,4.79,24.7,2.2,5.9,F,2L,22.2,3.99,9.8,4,8,3,2.21,0.858,1.95,0.5,0.822,0.406
6.5,2L4X3X1/2X3/4SLBB,2L4X3X1/2X3/4SLBB,0.94,4.79,28.7,2.2,6.56,F,2L,22.2,3.99,11,4,8,3,2.34,0.858,2.1,0.5,0.822,0.406
4.98,2L4X3X3/8X3/8SLBB,2L4X3X3/8X3/8SLBB,0.928,3.79,18.6,1.7,4.44,F,2L,17,3.04,7.26,4,10.7,3,2.2,0.873,1.93,0.375,0.775,0.311
4.98,2L4X3X3/8SLBB,2L4X3X3/8SLBB,0.92,3.79,16,1.7,4,F,2L,17,3.04,6.32,4,10.7,3,2.08,0.873,1.79,0.375,0.775,0.311
4.98,2L4X3X3/8X3/4SLBB,2L4X3X3/8X3/4SLBB,0.936,3.79,21.3,1.7,4.87,F,2L,17,3.04,8.19,4,10.7,3,2.32,0.873,2.07,0.375,0.775,0.311
4.18,2L4X3X5/16SLBB,2L4X3X5/16SLBB,0.918,3.24,13.2,1.44,3.3,F,2L,14.4,2.56,5.22,4,12.8,3,2.07,0.88,1.78,0.313,0.75,0.261
4.18,2L4X3X5/16X3/8SLBB,2L4X3X5/16X3/8SLBB,0.926,3.24,15.2,1.44,3.63,F,2L,14.4,2.56,6.01,4,12.8,3,2.19,0.88,1.91,0.313,0.75,0.261
3.38,2L4X3X1/4SLBB,2L4X3X1/4SLBB,0.915,2.66,10.5,1.17,2.62,F,2L,11.6,2.06,4.12,4,16,3,2.06,0.887,1.76,0.25,0.725,0.211
4.18,2L4X3X5/16X3/4SLBB,2L4X3X5/16X3/4SLBB,0.934,3.24,17.7,1.44,4.05,F,2L,14.4,2.56,6.79,4,12.8,3,2.32,0.88,2.06,0.313,0.75,0.261
3.38,2L4X3X1/4X3/8SLBB,2L4X3X1/4X3/8SLBB,0.924,2.66,12.2,1.17,2.91,F,2L,11.6,2.06,4.76,4,16,3,2.18,0.887,1.9,0.25,0.725,0.211
3.38,2L4X3X1/4X3/4SLBB,2L4X3X1/4X3/4SLBB,0.932,2.66,14.1,1.17,3.22,F,2L,11.6,2.06,5.39,4,16,3,2.31,0.887,2.04,0.25,0.725,0.211
6.04,2L3-1/2X3X1/2SLBB,2L3-1/2X3X1/2SLBB,0.892,4.65,14.5,2.18,4.14,F,2L,20.4,3.94,6.76,3.5,7,3,1.88,0.877,1.55,0.5,0.869,0.431
6.04,2L3-1/2X3X1/2X3/8SLBB,2L3-1/2X3X1/2X3/8SLBB,0.904,4.65,17.3,2.18,4.69,F,2L,20.4,3.94,7.9,3.5,7,3,2,0.877,1.69,0.5,0.869,0.431
