A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
1.78,L3X3X5/16,0.039,L3X3X5/16,2.4,1.5,1.5,0.606,0.0597,9,9,12,1.19,0,1.19,0.699,0.699,0.497,0.594,0.497,0.594,F,L,6.1,1.26,1.26,3,9.58,3,0.688,0.69,1.64,0.918,0.918,0.583,0.313,1,1.02,1.22,1.02,0.86,0.297,0.86,0.297,2.01,0,2.01
2.11,L3X3X3/8,0.0652,L3X3X3/8,2.79,1.75,1.75,0.716,0.101,9,9,12,1.4,0,1.4,0.825,0.825,0.573,0.716,0.573,0.716,F,L,7.2,1.48,1.48,3,8,3,0.75,0.75,1.62,0.91,0.91,0.581,0.375,1,1,1.25,1,0.884,0.352,0.884,0.352,1.99,0,1.99
1.09,L3X3X3/16,0.00899,L3X3X3/16,1.52,0.948,0.948,0.373,0.0136,9,9,12,0.741,0,0.741,0.433,0.433,0.324,0.359,0.324,0.359,F,L,3.71,0.774,0.774,3,16,3,0.563,0.56,1.67,0.933,0.933,0.586,0.188,1,1.04,1.15,1.04,0.812,0.182,0.812,0.182,2.05,0,2.05
1.44,L3X3X1/4,0.0206,L3X3X1/4,1.97,1.23,1.23,0.49,0.0313,9,9,12,0.97,0,0.97,0.569,0.569,0.415,0.476,0.415,0.476,F,L,4.9,1.02,1.02,3,12,3,0.625,0.63,1.65,0.926,0.926,0.585,0.25,1,1.03,1.18,1.03,0.836,0.24,0.836,0.24,2.03,0,2.03
2.22,L3X2-1/2X7/16,0.0777,L3X2-1/2X7/16,2.45,1.87,1.17,0.594,0.146,8.5,8,11,1.51,6.08,1.24,0.921,0.656,0.521,0.566,0.521,0.834,F,L,7.6,1.66,1.19,3,6.85,2.5,0.813,0.81,1.48,0.917,0.724,0.516,0.438,0.671,1.05,1.14,0.712,0.724,0.37,0.972,0.463,1.62,0.403,1.97
2.5,L3X2-1/2X1/2,0.112,L3X2-1/2X1/2,2.69,2.07,1.29,0.665,0.213,8.5,8,11,1.69,6.5,1.39,1.03,0.736,0.568,0.633,0.568,0.95,F,L,8.5,1.86,1.34,3,6,2.5,0.875,0.88,1.46,0.91,0.718,0.516,0.5,0.666,1.05,1.17,0.7,0.746,0.417,0.995,0.5,1.59,0.414,1.94
1.93,L3X2-1/2X3/8,0.0507,L3X2-1/2X3/8,2.17,1.65,1.03,0.514,0.0943,8.5,8,11,1.32,5.49,1.09,0.803,0.573,0.463,0.48,0.463,0.714,F,L,6.6,1.45,1.03,3,8,2.5,0.75,0.75,1.49,0.924,0.731,0.517,0.375,0.675,1.07,1.11,0.72,0.701,0.322,0.949,0.427,1.64,0.395,1.99
1,L3X2-1/2X3/16,0.00705,L3X2-1/2X3/16,1.2,0.899,0.568,0.271,0.013,8.5,8,11,0.706,3.29,0.585,0.423,0.303,0.246,0.246,0.268,0.354,F,L,3.39,0.761,0.536,3,16,2.5,0.563,0.56,1.54,0.947,0.753,0.521,0.188,0.687,1.1,1.01,0.765,0.627,0.167,0.874,0.333,1.7,0.365,2.05
1.32,L3X2-1/2X1/4,0.0161,L3X2-1/2X1/4,1.54,1.16,0.734,0.355,0.0296,8.5,8,11,0.917,4.13,0.759,0.555,0.397,0.329,0.329,0.338,0.471,F,L,4.5,1,0.707,3,12,2.5,0.625,0.63,1.52,0.94,0.746,0.52,0.25,0.683,1.08,1.05,0.753,0.653,0.22,0.9,0.36,1.68,0.373,2.03
2.26,L3X2X1/2,0.0908,L3X2X1/2,2.18,1.92,0.667,0.409,0.192,8,7,10,1.66,2.81,1.15,1,0.47,0.411,0.411,0.431,0.953,F,L,7.7,1.78,0.887,3,6,2,0.813,0.81,1.39,0.922,0.543,0.425,0.5,0.413,0.995,0.949,0.429,0.58,0.377,1.08,0.74,1.31,0.776,1.9
0.917,L3X2X3/16,0.00576,L3X2X3/16,0.979,0.847,0.305,0.173,0.0119,8,7,10,0.694,1.43,0.485,0.414,0.198,0.163,0.163,0.214,0.351,F,L,3.07,0.743,0.351,3,16,2,0.5,0.5,1.46,0.961,0.577,0.435,0.188,0.442,1.06,0.808,0.493,0.462,0.153,0.952,0.555,1.41,0.683,2.02
1.75,L3X2X3/8,0.0413,L3X2X3/8,1.76,1.54,0.539,0.319,0.0855,8,7,10,1.3,2.38,0.903,0.779,0.368,0.313,0.313,0.356,0.709,F,L,5.9,1.39,0.679,3,8,2,0.688,0.69,1.42,0.937,0.555,0.426,0.375,0.426,1.02,0.895,0.45,0.535,0.292,1.03,0.667,1.35,0.739,1.95
1.63,L3X2-1/2X5/16,0.0304,L3X2-1/2X5/16,1.86,1.41,0.888,0.435,0.056,8.5,8,11,1.12,4.86,0.925,0.681,0.487,0.403,0.407,0.403,0.589,F,L,5.6,1.23,0.873,3,9.58,2.5,0.688,0.69,1.51,0.932,0.739,0.518,0.313,0.679,1.07,1.08,0.739,0.677,0.272,0.925,0.392,1.66,0.383,2.01
1.48,L3X2X5/16,0.0248,L3X2X5/16,1.52,1.32,0.467,0.271,0.051,8,7,10,1.11,2.1,0.772,0.662,0.314,0.263,0.263,0.311,0.583,F,L,5,1.19,0.572,3,9.58,2,0.625,0.63,1.43,0.945,0.562,0.428,0.313,0.432,1.03,0.87,0.465,0.511,0.247,1.01,0.632,1.37,0.724,1.97
2.26,L2-1/2X2-1/2X1/2,0.0791,L2-1/2X2-1/2X1/2,1.92,1.22,1.22,0.526,0.188,7.5,7.5,10,1.21,0,1.21,0.716,0.716,0.461,0.65,0.461,0.65,F,L,7.7,1.29,1.29,2.5,5,2.5,0.75,0.75,1.3,0.735,0.735,0.481,0.5,1,0.809,1.14,0.809,0.803,0.452,0.803,0.452,1.59,0,1.59
1.2,L3X2X1/4,0.0132,L3X2X1/4,1.26,1.09,0.39,0.223,0.027,8,7,10,0.906,1.79,0.63,0.541,0.258,0.214,0.214,0.265,0.465,F,L,4.1,0.969,0.463,3,12,2,0.563,0.56,1.45,0.953,0.569,0.431,0.25,0.437,1.04,0.84,0.48,0.487,0.2,0.98,0.6,1.39,0.702,2
1.73,L2-1/2X2-1/2X3/8,0.0362,L2-1/2X2-1/2X3/8,1.54,0.972,0.972,0.4,0.0833,7.5,7.5,10,0.939,0,0.939,0.558,0.558,0.374,0.483,0.374,0.483,F,L,5.9,1.01,1.01,2.5,6.67,2.5,0.625,0.63,1.33,0.749,0.749,0.481,0.375,1,0.828,1.07,0.828,0.758,0.346,0.758,0.346,1.64,0,1.64
1.46,L2-1/2X2-1/2X5/16,0.0218,L2-1/2X2-1/2X5/16,1.34,0.837,0.837,0.338,0.0495,7.5,7.5,10,0.807,0,0.807,0.474,0.474,0.325,0.403,0.325,0.403,F,L,5,0.853,0.853,2.5,7.99,2.5,0.563,0.56,1.35,0.756,0.756,0.481,0.313,1,0.839,1.04,0.839,0.735,0.292,0.735,0.292,1.66,0,1.66
0.901,L2-1/2X2-1/2X3/16,0.0051,L2-1/2X2-1/2X3/16,0.86,0.535,0.535,0.209,0.0114,7.5,7.5,10,0.506,0,0.506,0.295,0.295,0.215,0.242,0.215,0.242,F,L,3.07,0.529,0.529,2.5,13.3,2.5,0.438,0.44,1.38,0.771,0.771,0.482,0.188,1,0.863,0.972,0.863,0.687,0.18,0.687,0.18,1.7,0,1.7
1.19,L2-1/2X2-1/2X1/4,0.0116,L2-1/2X2-1/2X1/4,1.11,0.692,0.692,0.276,0.0261,7.5,7.5,10,0.661,0,0.661,0.387,0.387,0.273,0.324,0.273,0.324,F,L,4.1,0.695,0.695,2.5,10,2.5,0.5,0.5,1.36,0.764,0.764,0.482,0.25,1,0.851,1.01,0.851,0.711,0.238,0.711,0.238,1.68,0,1.68
1.55,L2-1/2X2X3/8,0.0268,L2-1/2X2X3/8,1.15,0.914,0.513,0.273,0.0746,7,6.5,9,0.891,2.85,0.706,0.546,0.361,0.295,0.31,0.295,0.505,F,L,5.3,0.982,0.657,2.5,6.67,2,0.625,0.63,1.22,0.766,0.574,0.419,0.375,0.612,0.88,0.924,0.541,0.578,0.31,0.826,0.433,1.29,0.403,1.63
1.07,L2-1/2X2X1/4,0.00868,L2-1/2X2X1/4,0.837,0.656,0.372,0.192,0.0235,7,6.5,9,0.629,2.2,0.498,0.381,0.253,0.213,0.213,0.222,0.34,F,L,3.62,0.688,0.454,2.5,10,2,0.5,0.5,1.25,0.782,0.589,0.423,0.25,0.624,0.9,0.864,0.565,0.532,0.214,0.779,0.36,1.33,0.38,1.68
1.32,L2-1/2X2X5/16,0.0162,L2-1/2X2X5/16,1,0.79,0.446,0.233,0.0444,7,6.5,9,0.763,2.56,0.606,0.465,0.309,0.261,0.262,0.261,0.421,F,L,4.5,0.839,0.557,2.5,7.99,2,0.563,0.56,1.23,0.774,0.581,0.42,0.313,0.618,0.889,0.894,0.554,0.555,0.264,0.803,0.388,1.31,0.391,1.65
0.947,L2-1/2X1-1/2X1/4,0.00694,L2-1/2X1-1/2X1/4,0.656,0.594,0.16,0.0977,0.0209,6.5,5.5,8,0.607,0.948,0.405,0.364,0.142,0.12,0.12,0.153,0.312,F,L,3.19,0.644,0.261,2.5,10,1.5,0.5,0.5,1.19,0.792,0.411,0.321,0.25,0.354,0.816,0.64,0.313,0.372,0.189,0.866,0.606,1.08,0.692,1.62
0.818,L2-1/2X2X3/16,0.00382,L2-1/2X2X3/16,0.654,0.511,0.292,0.148,0.0103,7,6.5,9,0.484,1.78,0.385,0.293,0.195,0.162,0.162,0.178,0.255,F,L,2.75,0.529,0.347,2.5,13.3,2,0.438,0.44,1.26,0.79,0.597,0.426,0.188,0.628,0.911,0.832,0.58,0.508,0.164,0.754,0.319,1.35,0.367,1.7
0.724,L2-1/2X1-1/2X3/16,0.00306,L2-1/2X1-1/2X3/16,0.514,0.464,0.126,0.0754,0.00921,6.5,5.5,8,0.472,0.766,0.312,0.28,0.11,0.0906,0.0906,0.123,0.231,F,L,2.44,0.497,0.198,2.5,13.3,1.5,0.438,0.44,1.2,0.801,0.418,0.324,0.188,0.36,0.832,0.611,0.326,0.347,0.145,0.839,0.569,1.09,0.671,1.65
1.37,L2X2X3/8,0.0174,L2X2X3/8,0.749,0.476,0.476,0.203,0.0658,6,6,8,0.585,0,0.585,0.348,0.348,0.227,0.311,0.227,0.311,F,L,4.7,0.629,0.629,2,5.33,2,0.625,0.63,1.05,0.591,0.591,0.386,0.375,1,0.653,0.894,0.653,0.632,0.343,0.632,0.343,1.28,0,1.28
1.16,L2X2X5/16,0.0106,L2X2X5/16,0.655,0.414,0.414,0.172,0.0393,6,6,8,0.504,0,0.504,0.298,0.298,0.2,0.259,0.2,0.259,F,L,3.92,0.537,0.537,2,6.39,2,0.563,0.56,1.06,0.598,0.598,0.386,0.313,1,0.664,0.861,0.664,0.609,0.29,0.609,0.29,1.3,0,1.3
0.944,L2X2X1/4,0.00572,L2X2X1/4,0.551,0.346,0.346,0.142,0.0209,6,6,8,0.414,0,0.414,0.244,0.244,0.171,0.211,0.171,0.211,F,L,3.19,0.44,0.44,2,8,2,0.5,0.5,1.08,0.605,0.605,0.387,0.25,1,0.674,0.829,0.674,0.586,0.236,0.586,0.236,1.33,0,1.33
0.722,L2X2X3/16,0.00254,L2X2X3/16,0.433,0.271,0.271,0.109,0.00921,6,6,8,0.321,0,0.321,0.188,0.188,0.137,0.159,0.137,0.159,F,L,2.44,0.338,0.338,2,10.6,2,0.438,0.44,1.09,0.612,0.612,0.389,0.188,1,0.687,0.793,0.687,0.561,0.181,0.561,0.181,1.35,0,1.35
0.491,L2X2X1/8,0.000789,L2X2X1/8,0.303,0.189,0.189,0.0756,0.00293,6,6,8,0.221,0,0.221,0.129,0.129,0.1,0.108,0.1,0.108,F,L,1.65,0.23,0.23,2,16,2,0.375,0.38,1.1,0.62,0.62,0.391,0.125,1,0.703,0.755,0.703,0.534,0.123,0.534,0.123,1.37,0,1.37
