A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
6.98,L5X5X3/4,2.32,L5X5X3/4,24.8,15.7,15.7,6.55,1.33,15,15,20,7.58,0,7.58,4.52,4.52,3.05,3.97,3.05,3.97,F,L,23.6,8.14,8.14,5,6.67,5,1.25,1.25,2.67,1.5,1.5,0.972,0.75,1,1.65,2.15,1.65,1.52,0.698,1.52,0.698,3.27,0,3.27
5.9,L5X5X5/8,1.4,L5X5X5/8,21.6,13.6,13.6,5.62,0.792,15,15,20,6.53,0,6.53,3.85,3.85,2.7,3.35,2.7,3.35,F,L,20,6.93,6.93,5,8,5,1.13,1.125,2.7,1.52,1.52,0.975,0.625,1,1.68,2.08,1.68,1.47,0.59,1.47,0.59,3.31,0,3.31
4.22,L5X5X7/16,0.508,L5X5X7/16,15.9,10,10,4.04,0.284,15,15,20,4.7,0,4.7,2.78,2.78,2.04,2.36,2.04,2.36,F,L,14.3,5,5,5,11.4,5,0.938,0.938,2.74,1.54,1.54,0.983,0.438,1,1.71,1.98,1.71,1.4,0.422,1.4,0.422,3.38,0,3.38
3.65,L5X5X3/8,0.327,L5X5X3/8,14,8.76,8.76,3.55,0.183,15,15,20,4.12,0,4.12,2.41,2.41,1.83,2.05,1.83,2.05,F,L,12.3,4.33,4.33,5,13.3,5,0.875,0.875,2.76,1.55,1.55,0.986,0.375,1,1.73,1.94,1.73,1.37,0.365,1.37,0.365,3.4,0,3.4
4.79,L5X5X1/2,0.744,L5X5X1/2,18,11.3,11.3,4.64,0.417,15,15,20,5.36,0,5.36,3.15,3.15,2.31,2.73,2.31,2.73,F,L,16.2,5.66,5.66,5,10,5,1,1,2.73,1.53,1.53,0.98,0.5,1,1.7,2.01,1.7,1.42,0.479,1.42,0.479,3.36,0,3.36
5.85,L5X3-1/2X3/4,1.52,L5X3-1/2X3/4,16.2,13.9,5.52,3.23,1.09,13.5,12,17,7.07,14,5.03,4.26,2.2,1.9,1.9,1.98,3.99,F,L,19.8,7.6,4.07,5,6.67,3.5,1.19,1.188,2.36,1.55,0.974,0.744,0.75,0.464,1.7,1.63,0.81,0.993,0.585,1.74,1.1,2.29,1.16,3.22
3.07,L5X5X5/16,0.193,L5X5X5/16,11.9,7.44,7.44,3,0.108,15,15,20,3.48,0,3.48,2.04,2.04,1.57,1.72,1.57,1.72,F,L,10.3,3.65,3.65,5,16,5,0.813,0.813,2.77,1.56,1.56,0.99,0.313,1,1.74,1.91,1.74,1.35,0.307,1.35,0.307,3.42,0,3.42
4.93,L5X3-1/2X5/8,0.918,L5X3-1/2X5/8,14.1,12,4.8,2.74,0.651,13.5,12,17,6.05,12.6,4.33,3.63,1.88,1.59,1.59,1.73,3.27,F,L,16.8,6.5,3.43,5,8,3.5,1.06,1.063,2.39,1.56,0.987,0.746,0.625,0.472,1.72,1.58,0.838,0.947,0.493,1.69,1.06,2.33,1.12,3.26
4,L5X3-1/2X1/2,0.491,L5X3-1/2X1/2,11.8,10,4.02,2.26,0.343,13.5,12,17,4.96,10.7,3.58,2.97,1.55,1.3,1.3,1.49,2.65,F,L,13.6,5.33,2.79,5,10,3.5,0.938,0.938,2.42,1.58,1,0.75,0.5,0.479,1.74,1.52,0.854,0.901,0.4,1.65,1,2.38,1.1,3.3
3.05,L5X3-1/2X3/8,0.217,L5X3-1/2X3/8,9.16,7.75,3.15,1.73,0.15,13.5,12,17,3.77,8.56,2.73,2.28,1.19,0.983,0.983,1.18,1.96,F,L,10.4,4.09,2.12,5,13.3,3.5,0.813,0.813,2.45,1.59,1.02,0.755,0.375,0.485,1.76,1.47,0.884,0.854,0.305,1.6,0.933,2.43,1.07,3.35
2.56,L5X3-1/2X5/16,0.128,L5X3-1/2X5/16,7.8,6.58,2.69,1.47,0.0883,13.5,12,17,3.2,7.43,2.31,1.92,1.01,0.826,0.826,1.03,1.63,F,L,8.7,3.45,1.77,5,16,3.5,0.75,0.75,2.47,1.6,1.02,0.758,0.313,0.489,1.78,1.43,0.902,0.829,0.256,1.57,0.904,2.44,1.05,3.38
2.07,L5X3-1/2X1/4,0.067,L5X3-1/2X1/4,6.37,5.36,2.2,1.19,0.0464,13.5,12,17,2.58,6.13,1.87,1.55,0.816,0.665,0.665,0.844,1.3,F,L,7,2.78,1.42,5,20,3.5,0.688,0.688,2.48,1.61,1.03,0.761,0.25,0.491,1.79,1.41,0.912,0.804,0.207,1.55,0.86,2.47,1.04,3.4
3.75,L5X3X1/2,0.444,L5X3X1/2,10.4,9.43,2.55,1.55,0.322,13,11,16,4.81,7.48,3.21,2.89,1.13,0.957,0.957,1.2,2.47,F,L,12.8,5.12,2.08,5,10,3,0.938,0.938,2.38,1.58,0.824,0.642,0.5,0.357,1.62,1.29,0.628,0.746,0.375,1.74,1.25,2.16,1.39,3.24
3.31,L5X3X7/16,0.304,L5X3X7/16,9.33,8.41,2.29,1.37,0.22,13,11,16,4.26,6.81,2.86,2.56,1,0.84,0.84,1.09,2.14,F,L,11.3,4.53,1.82,5,11.4,3,0.875,0.875,2.39,1.59,0.831,0.644,0.438,0.361,1.63,1.26,0.64,0.722,0.331,1.72,1.22,2.19,1.37,3.26
2.86,L5X3X3/8,0.196,L5X3X3/8,8.16,7.35,2.01,1.2,0.141,13,11,16,3.71,6.04,2.48,2.22,0.874,0.727,0.727,0.976,1.84,F,L,9.8,3.93,1.57,5,13.3,3,0.813,0.813,2.41,1.6,0.838,0.646,0.375,0.364,1.65,1.23,0.652,0.698,0.286,1.69,1.19,2.2,1.35,3.29
1.94,L5X3X1/4,0.0606,L5X3X1/4,5.68,5.09,1.41,0.825,0.0438,13,11,16,2.54,4.34,1.71,1.51,0.6,0.491,0.491,0.699,1.22,F,L,6.6,2.68,1.05,5,20,3,0.688,0.69,2.43,1.62,0.853,0.652,0.25,0.371,1.68,1.18,0.677,0.648,0.194,1.64,1.12,2.24,1.31,3.33
2.41,L5X3X5/16,0.116,L5X3X5/16,6.95,6.24,1.72,1.01,0.0832,13,11,16,3.13,5.23,2.11,1.87,0.739,0.608,0.608,0.835,1.52,F,L,8.2,3.32,1.31,5,16,3,0.75,0.75,2.42,1.61,0.846,0.649,0.313,0.368,1.66,1.21,0.665,0.673,0.241,1.67,1.14,2.22,1.33,3.3
