A,Ix,Iy,R1,R2,Size,Sx,Sy,Type,W,b,d,d1,rx,ry,tf,tftip,tw,x
3.6,24.2,1.17,0.31,0.13,C 7 X 4.23,6.93,0.7,American Standard,4.23,2.194,7,5.5,2.6,0.57,0.367,0.21,0.314,0.52
5.07,30.3,1.59,0.31,0.13,C 7 X 5.96,8.64,0.86,American Standard,5.96,2.404,7,5.5,2.44,0.56,0.367,0.21,0.524,0.55
4.04,36.1,1.53,0.32,0.13,C 8 X 4.75,9.03,0.85,American Standard,4.75,2.343,8,6.25,2.99,0.61,0.39,0.22,0.303,0.55
5.88,60.9,2.42,0.33,0.14,C 9 X 6.91,13.5,1.17,American Standard,6.91,2.648,9,7.25,3.22,0.64,0.413,0.23,0.448,0.58
7.35,70.9,2.94,0.33,0.14,C 9 X 8.65,15.8,1.34,American Standard,8.65,2.812,9,7.25,3.11,0.63,0.413,0.23,0.612,0.61
4.78,40,1.75,0.32,0.13,C 8 X 5.62,10,0.93,American Standard,5.62,2.435,8,6.25,2.9,0.61,0.39,0.22,0.395,0.55
3.91,47.7,1.75,0.33,0.14,C 9 X 4.60,10.6,0.96,American Standard,4.6,2.43,9,7.25,3.49,0.67,0.413,0.23,0.23,0.6
4.41,51,1.93,0.33,0.14,C 9 X 5.19,11.3,1.01,American Standard,5.19,2.485,9,7.25,3.4,0.66,0.413,0.23,0.285,0.59
5.51,44,1.98,0.32,0.13,C 8 X 6.48,11,1.01,American Standard,6.48,2.527,8,6.25,2.82,0.6,0.39,0.22,0.487,0.57
5.88,79,2.81,0.34,0.14,C 10 X 6.91,15.8,1.32,American Standard,6.91,2.739,10,8.25,3.66,0.69,0.437,0.24,0.379,0.61
14.7,404,11,0.5,0.24,C 15 X 17.3,53.8,3.78,American Standard,17.3,3.716,15,12.4,5.24,0.87,0.65,0.4,0.716,0.8
