A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
2,HSS4-1/2X4-1/2X1/8,4.5,4.45,HSS4-1/2X4-1/2X.125,4.5,6.35,6.35,9.92,2.82,2.82,F,HSS,7.31,3.27,3.27,4.15,35.8,4.15,35.8,1.78,1.78,0.116,0.125
4.1,HSS4X4X5/16,4,7.91,HSS4X4X.313,4,9.14,9.14,15.3,4.57,4.57,F,HSS,14.83,5.59,5.59,3.13,10.7,3.13,10.7,1.49,1.49,0.291,0.3125
6.02,HSS4X4X1/2,4,11.2,HSS4X4X.500,4,11.9,11.9,21,5.97,5.97,F,HSS,21.63,7.7,7.7,2.6,5.6,2.6,5.6,1.41,1.41,0.465,0.5
2.58,HSS4X4X3/16,4,5.07,HSS4X4X.188,4,6.21,6.21,10,3.1,3.1,F,HSS,9.42,3.67,3.67,3.48,20,3.48,20,1.55,1.55,0.174,0.1875
3.37,HSS4X4X1/4,4,6.56,HSS4X4X.250,4,7.8,7.8,12.8,3.9,3.9,F,HSS,12.21,4.69,4.69,3.3,14.2,3.3,14.2,1.52,1.52,0.233,0.25
2.67,HSS4X2-1/2X1/4,2.5,3.93,HSS4X2-1/2X.250,4,5.32,2.53,5.78,2.66,2.02,F,HSS,9.66,3.38,2.43,1.8,7.73,3.3,14.2,1.41,0.973,0.233,0.25
2.06,HSS4X2-1/2X3/16,2.5,3.08,HSS4X2-1/2X.188,4,4.3,2.06,4.59,2.15,1.65,F,HSS,7.51,2.67,1.93,1.98,11.4,3.48,20,1.44,0.999,0.174,0.1875
1.42,HSS4X2-1/2X1/8,2.5,2.14,HSS4X2-1/2X.125,4,3.09,1.49,3.23,1.54,1.19,F,HSS,5.18,1.88,1.36,2.15,18.6,3.65,31.5,1.47,1.03,0.116,0.125
3.39,HSS4X2X3/8,2,4.04,HSS4X2X.375,4,5.6,1.8,4.83,2.8,1.8,F,HSS,12.17,3.84,2.31,0.953,2.73,2.95,8.46,1.29,0.729,0.349,0.375
2.44,HSS4X2X1/4,2,3.05,HSS4X2X.250,4,4.49,1.48,3.82,2.25,1.48,F,HSS,8.81,2.94,1.79,1.3,5.58,3.3,14.2,1.36,0.779,0.233,0.25
2.94,HSS4X2X5/16,2,3.59,HSS4X2X.313,4,5.13,1.67,4.4,2.56,1.67,F,HSS,10.58,3.43,2.08,1.13,3.87,3.13,10.7,1.32,0.754,0.291,0.3125
1.3,HSS4X2X1/8,2,1.69,HSS4X2X.125,4,2.65,0.898,2.2,1.32,0.898,F,HSS,4.75,1.66,1.02,1.65,14.2,3.65,31.5,1.43,0.83,0.116,0.125
4.09,HSS3-1/2X3-1/2X3/8,3.5,6.77,HSS3-1/2X3-1/2X.375,3.5,6.49,6.49,11.2,3.71,3.71,F,HSS,14.72,4.69,4.69,2.45,7.03,2.45,7.03,1.26,1.26,0.349,0.375
3.52,HSS3-1/2X3-1/2X5/16,3.5,5.9,HSS3-1/2X3-1/2X.313,3.5,5.84,5.84,9.89,3.34,3.34,F,HSS,12.7,4.14,4.14,2.63,9.03,2.63,9.03,1.29,1.29,0.291,0.3125
1.54,HSS3-1/2X3-1/2X1/8,3.5,2.65,HSS3-1/2X3-1/2X.125,3.5,2.9,2.9,4.58,1.66,1.66,F,HSS,5.61,1.93,1.93,3.15,27.2,3.15,27.2,1.37,1.37,0.116,0.125
